26P :acc 0.8975 , nmi 0.6521 , ari 0.7192 , f1 0.8975
27Q :acc 0.8985 , nmi 0.6562 , ari 0.7220 , f1 0.8984
27Z :acc 0.9045 , nmi 0.6905 , ari 0.7404 , f1 0.9036
27P :acc 0.8982 , nmi 0.6536 , ari 0.7208 , f1 0.8982
28Q :acc 0.8992 , nmi 0.6572 , ari 0.7235 , f1 0.8991
28Z :acc 0.9035 , nmi 0.6890 , ari 0.7381 , f1 0.9026
28P :acc 0.8992 , nmi 0.6561 , ari 0.7232 , f1 0.8992
29Q :acc 0.8992 , nmi 0.6568 , ari 0.7234 , f1 0.8991
29Z :acc 0.9031 , nmi 0.6894 , ari 0.7374 , f1 0.9023
29P :acc 0.8985 , nmi 0.6546 , ari 0.7216 , f1 0.8985
30Q :acc 0.8988 , nmi 0.6558 , ari 0.7225 , f1 0.8988
30Z :acc 0.9041 , nmi 0.6934 , ari 0.7401 , f1 0.9033
30P :acc 0.8979 , nmi 0.6528 , ari 0.7200 , f1 0.8978
31Q :acc 0.8988 , nmi 0.6559 , ari 0.7225 , f1 0.8988
31Z :acc 0.9025 , nmi 0.6893 , ari 0.7360 , f1 0.9016
31P :acc 0.8979 , nmi 0.6534 , ari 0.7202 , f1 0.8978
32Q :acc 0.8988 , nmi 0.6562 , ari 0.7226 , f1 0.8988
32Z :acc 0.9021 , nmi 0.6892 , ari 0.7353 , f1 0.9013
32P :acc 0.8979 , nmi 0.6535 , ari 0.7201 , f1 0.8979
33Q :acc 0.8985 , nmi 0.6557 , ari 0.7218 , f1 0.8985
33Z :acc 0.9021 , nmi 0.6894 , ari 0.7353 , f1 0.9013
33P :acc 0.8979 , nmi 0.6535 , ari 0.7201 , f1 0.8979
34Q :acc 0.8979 , nmi 0.6539 , ari 0.7201 , f1 0.8979
34Z :acc 0.9025 , nmi 0.6903 , ari 0.7361 , f1 0.9017
34P :acc 0.8985 , nmi 0.6558 , ari 0.7218 , f1 0.8986
35Q :acc 0.8988 , nmi 0.6569 , ari 0.7226 , f1 0.8989
35Z :acc 0.9015 , nmi 0.6876 , ari 0.7337 , f1 0.9007
35P :acc 0.8988 , nmi 0.6564 , ari 0.7225 , f1 0.8990
36Q :acc 0.8988 , nmi 0.6566 , ari 0.7225 , f1 0.8990
36Z :acc 0.9005 , nmi 0.6861 , ari 0.7315 , f1 0.8997
36P :acc 0.8988 , nmi 0.6564 , ari 0.7225 , f1 0.8990
37Q :acc 0.8985 , nmi 0.6557 , ari 0.7217 , f1 0.8986
37Z :acc 0.9005 , nmi 0.6859 , ari 0.7314 , f1 0.8997
37P :acc 0.8995 , nmi 0.6576 , ari 0.7241 , f1 0.8996
38Q :acc 0.8985 , nmi 0.6555 , ari 0.7216 , f1 0.8986
38Z :acc 0.9002 , nmi 0.6849 , ari 0.7306 , f1 0.8994
38P :acc 0.8995 , nmi 0.6573 , ari 0.7240 , f1 0.8996
39Q :acc 0.8985 , nmi 0.6555 , ari 0.7216 , f1 0.8986
39Z :acc 0.9005 , nmi 0.6858 , ari 0.7314 , f1 0.8997
39P :acc 0.8992 , nmi 0.6561 , ari 0.7231 , f1 0.8993
40Q :acc 0.8982 , nmi 0.6545 , ari 0.7208 , f1 0.8983
40Z :acc 0.9008 , nmi 0.6868 , ari 0.7322 , f1 0.9001
40P :acc 0.8988 , nmi 0.6555 , ari 0.7223 , f1 0.8990
41Q :acc 0.8972 , nmi 0.6518 , ari 0.7183 , f1 0.8973
41Z :acc 0.9008 , nmi 0.6870 , ari 0.7323 , f1 0.9001
41P :acc 0.8982 , nmi 0.6539 , ari 0.7207 , f1 0.8983
42Q :acc 0.8972 , nmi 0.6515 , ari 0.7182 , f1 0.8973
42Z :acc 0.9012 , nmi 0.6863 , ari 0.7329 , f1 0.9004
42P :acc 0.8985 , nmi 0.6545 , ari 0.7215 , f1 0.8986
43Q :acc 0.8972 , nmi 0.6515 , ari 0.7182 , f1 0.8973
43Z :acc 0.9008 , nmi 0.6862 , ari 0.7323 , f1 0.9001
43P :acc 0.8982 , nmi 0.6530 , ari 0.7205 , f1 0.8983
44Q :acc 0.8979 , nmi 0.6526 , ari 0.7197 , f1 0.8980
44Z :acc 0.9025 , nmi 0.6901 , ari 0.7362 , f1 0.9019
44P :acc 0.8982 , nmi 0.6530 , ari 0.7205 , f1 0.8983
45Q :acc 0.8979 , nmi 0.6526 , ari 0.7197 , f1 0.8980
45Z :acc 0.9025 , nmi 0.6901 , ari 0.7362 , f1 0.9019
45P :acc 0.8979 , nmi 0.6522 , ari 0.7197 , f1 0.8980
46Q :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
46Z :acc 0.9041 , nmi 0.6928 , ari 0.7399 , f1 0.9036
46P :acc 0.8979 , nmi 0.6524 , ari 0.7197 , f1 0.8980
