26P :acc 0.7854 , nmi 0.5585 , ari 0.5762 , f1 0.6493
27Q :acc 0.8007 , nmi 0.5780 , ari 0.5938 , f1 0.6388
27Z :acc 0.6345 , nmi 0.2797 , ari 0.2717 , f1 0.5524
27P :acc 0.7856 , nmi 0.5590 , ari 0.5770 , f1 0.6495
28Q :acc 0.8005 , nmi 0.5769 , ari 0.5936 , f1 0.6387
28Z :acc 0.6371 , nmi 0.2820 , ari 0.2762 , f1 0.5552
28P :acc 0.7850 , nmi 0.5589 , ari 0.5760 , f1 0.6492
29Q :acc 0.8008 , nmi 0.5773 , ari 0.5946 , f1 0.6390
29Z :acc 0.6382 , nmi 0.2828 , ari 0.2786 , f1 0.5565
29P :acc 0.7845 , nmi 0.5584 , ari 0.5754 , f1 0.6493
30Q :acc 0.8008 , nmi 0.5775 , ari 0.5946 , f1 0.6390
30Z :acc 0.6393 , nmi 0.2830 , ari 0.2809 , f1 0.5571
30P :acc 0.7843 , nmi 0.5585 , ari 0.5750 , f1 0.6492
31Q :acc 0.8009 , nmi 0.5781 , ari 0.5947 , f1 0.6391
31Z :acc 0.6436 , nmi 0.2875 , ari 0.2881 , f1 0.5618
31P :acc 0.7838 , nmi 0.5580 , ari 0.5743 , f1 0.6489
32Q :acc 0.8008 , nmi 0.5781 , ari 0.5947 , f1 0.6392
32Z :acc 0.6478 , nmi 0.2913 , ari 0.2956 , f1 0.5656
32P :acc 0.7839 , nmi 0.5584 , ari 0.5748 , f1 0.6490
33Q :acc 0.8008 , nmi 0.5786 , ari 0.5948 , f1 0.6392
33Z :acc 0.6508 , nmi 0.2938 , ari 0.3015 , f1 0.5677
33P :acc 0.7836 , nmi 0.5586 , ari 0.5747 , f1 0.6485
34Q :acc 0.8013 , nmi 0.5799 , ari 0.5963 , f1 0.6396
34Z :acc 0.6541 , nmi 0.2968 , ari 0.3076 , f1 0.5711
34P :acc 0.7835 , nmi 0.5591 , ari 0.5748 , f1 0.6485
35Q :acc 0.8017 , nmi 0.5810 , ari 0.5973 , f1 0.6399
35Z :acc 0.6560 , nmi 0.2992 , ari 0.3121 , f1 0.5726
35P :acc 0.7830 , nmi 0.5589 , ari 0.5740 , f1 0.6483
36Q :acc 0.8016 , nmi 0.5806 , ari 0.5971 , f1 0.6398
36Z :acc 0.6585 , nmi 0.3008 , ari 0.3166 , f1 0.5749
36P :acc 0.7832 , nmi 0.5597 , ari 0.5744 , f1 0.6485
