26Z :acc 0.6697 , nmi 0.4099 , ari 0.4150 , f1 0.6295
26P :acc 0.6432 , nmi 0.3717 , ari 0.3807 , f1 0.6081
27Q :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
27Z :acc 0.6688 , nmi 0.4075 , ari 0.4149 , f1 0.6291
27P :acc 0.6432 , nmi 0.3717 , ari 0.3807 , f1 0.6081
28Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
28Z :acc 0.6643 , nmi 0.4040 , ari 0.4092 , f1 0.6261
28P :acc 0.6432 , nmi 0.3717 , ari 0.3807 , f1 0.6081
29Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
29Z :acc 0.6613 , nmi 0.4012 , ari 0.4052 , f1 0.6235
29P :acc 0.6438 , nmi 0.3725 , ari 0.3813 , f1 0.6087
30Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
30Z :acc 0.6598 , nmi 0.3974 , ari 0.4037 , f1 0.6227
30P :acc 0.6438 , nmi 0.3725 , ari 0.3813 , f1 0.6087
31Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
31Z :acc 0.6595 , nmi 0.3958 , ari 0.4035 , f1 0.6227
31P :acc 0.6438 , nmi 0.3725 , ari 0.3813 , f1 0.6087
32Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
32Z :acc 0.6540 , nmi 0.3889 , ari 0.3962 , f1 0.6181
32P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
33Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
33Z :acc 0.6567 , nmi 0.3934 , ari 0.4010 , f1 0.6210
33P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
34Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
34Z :acc 0.6543 , nmi 0.3906 , ari 0.3975 , f1 0.6188
34P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
35Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
35Z :acc 0.6549 , nmi 0.3897 , ari 0.3976 , f1 0.6189
35P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
36Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
36Z :acc 0.6555 , nmi 0.3875 , ari 0.3965 , f1 0.6193
36P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
37Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
37Z :acc 0.6567 , nmi 0.3890 , ari 0.3977 , f1 0.6198
37P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
38Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
38Z :acc 0.6555 , nmi 0.3870 , ari 0.3961 , f1 0.6185
38P :acc 0.6441 , nmi 0.3730 , ari 0.3818 , f1 0.6090
39Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
39Z :acc 0.6576 , nmi 0.3909 , ari 0.3987 , f1 0.6209
39P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
40Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
40Z :acc 0.6549 , nmi 0.3876 , ari 0.3940 , f1 0.6175
40P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
41Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
41Z :acc 0.6558 , nmi 0.3889 , ari 0.3955 , f1 0.6187
41P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
42Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
42Z :acc 0.6607 , nmi 0.3932 , ari 0.4031 , f1 0.6232
42P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
43Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
43Z :acc 0.6607 , nmi 0.3938 , ari 0.4025 , f1 0.6233
43P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
44Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
44Z :acc 0.6598 , nmi 0.3937 , ari 0.4012 , f1 0.6223
44P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
45Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
45Z :acc 0.6631 , nmi 0.3970 , ari 0.4045 , f1 0.6259
45P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
46Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
46Z :acc 0.6625 , nmi 0.3962 , ari 0.4040 , f1 0.6249
46P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
47Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
47Z :acc 0.6652 , nmi 0.3981 , ari 0.4085 , f1 0.6284
47P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
48Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
48Z :acc 0.6625 , nmi 0.3976 , ari 0.4047 , f1 0.6261
48P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
49Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
49Z :acc 0.6646 , nmi 0.3985 , ari 0.4063 , f1 0.6292
49P :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
50Q :acc 0.6441 , nmi 0.3729 , ari 0.3817 , f1 0.6090
50Z :acc 0.6583 , nmi 0.3938 , ari 0.3991 , f1 0.6218
