26P :acc 0.8564 , nmi 0.7692 , ari 0.7209 , f1 0.8566
27Q :acc 0.8579 , nmi 0.7716 , ari 0.7236 , f1 0.8582
27Z :acc 0.5445 , nmi 0.5399 , ari 0.4395 , f1 0.4611
27P :acc 0.8564 , nmi 0.7692 , ari 0.7208 , f1 0.8566
28Q :acc 0.8575 , nmi 0.7715 , ari 0.7227 , f1 0.8578
28Z :acc 0.5457 , nmi 0.5340 , ari 0.4448 , f1 0.4417
28P :acc 0.8569 , nmi 0.7700 , ari 0.7215 , f1 0.8571
29Q :acc 0.8570 , nmi 0.7715 , ari 0.7215 , f1 0.8572
29Z :acc 0.5431 , nmi 0.5167 , ari 0.4309 , f1 0.4412
29P :acc 0.8558 , nmi 0.7693 , ari 0.7195 , f1 0.8560
30Q :acc 0.8563 , nmi 0.7711 , ari 0.7201 , f1 0.8565
30Z :acc 0.5389 , nmi 0.4960 , ari 0.4065 , f1 0.4378
30P :acc 0.8556 , nmi 0.7699 , ari 0.7192 , f1 0.8558
31Q :acc 0.8562 , nmi 0.7711 , ari 0.7198 , f1 0.8563
31Z :acc 0.5318 , nmi 0.4764 , ari 0.3821 , f1 0.4325
31P :acc 0.8556 , nmi 0.7698 , ari 0.7189 , f1 0.8558
32Q :acc 0.8568 , nmi 0.7714 , ari 0.7206 , f1 0.8569
32Z :acc 0.5370 , nmi 0.4625 , ari 0.3657 , f1 0.4381
32P :acc 0.8556 , nmi 0.7697 , ari 0.7190 , f1 0.8558
33Q :acc 0.8569 , nmi 0.7715 , ari 0.7209 , f1 0.8570
33Z :acc 0.5444 , nmi 0.4532 , ari 0.3571 , f1 0.4389
33P :acc 0.8564 , nmi 0.7702 , ari 0.7202 , f1 0.8566
34Q :acc 0.8579 , nmi 0.7723 , ari 0.7228 , f1 0.8581
34Z :acc 0.5503 , nmi 0.4485 , ari 0.3543 , f1 0.4406
34P :acc 0.8571 , nmi 0.7706 , ari 0.7215 , f1 0.8573
