80 :acc 0.8223 , nmi 0.6151 , ari 0.6427 , f1 0.7825
81 :acc 0.8223 , nmi 0.6151 , ari 0.6427 , f1 0.7825
82 :acc 0.8222 , nmi 0.6149 , ari 0.6425 , f1 0.7824
83 :acc 0.8222 , nmi 0.6149 , ari 0.6425 , f1 0.7824
84 :acc 0.8222 , nmi 0.6149 , ari 0.6425 , f1 0.7824
85 :acc 0.8222 , nmi 0.6149 , ari 0.6425 , f1 0.7824
86 :acc 0.8222 , nmi 0.6149 , ari 0.6425 , f1 0.7824
87 :acc 0.8221 , nmi 0.6147 , ari 0.6422 , f1 0.7823
88 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
89 :acc 0.8221 , nmi 0.6147 , ari 0.6422 , f1 0.7823
90 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
91 :acc 0.8221 , nmi 0.6147 , ari 0.6422 , f1 0.7823
92 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
93 :acc 0.8221 , nmi 0.6147 , ari 0.6422 , f1 0.7823
94 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
95 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
96 :acc 0.8221 , nmi 0.6147 , ari 0.6422 , f1 0.7823
97 :acc 0.8222 , nmi 0.6149 , ari 0.6423 , f1 0.7825
98 :acc 0.8221 , nmi 0.6146 , ari 0.6420 , f1 0.7824
99 :acc 0.8220 , nmi 0.6144 , ari 0.6419 , f1 0.7822
100 :acc 0.8221 , nmi 0.6146 , ari 0.6420 , f1 0.7824 
101 :acc 0.8221 , nmi 0.6146 , ari 0.6420 , f1 0.7824 
102 :acc 0.8220 , nmi 0.6144 , ari 0.6419 , f1 0.7822 
103 :acc 0.8220 , nmi 0.6145 , ari 0.6418 , f1 0.7823 
104 :acc 0.8219 , nmi 0.6143 , ari 0.6415 , f1 0.7823 
105 :acc 0.8218 , nmi 0.6141 , ari 0.6414 , f1 0.7821 
106 :acc 0.8219 , nmi 0.6143 , ari 0.6415 , f1 0.7823 
107 :acc 0.8219 , nmi 0.6143 , ari 0.6415 , f1 0.7823 
108 :acc 0.8219 , nmi 0.6146 , ari 0.6417 , f1 0.7822 
109 :acc 0.8217 , nmi 0.6138 , ari 0.6413 , f1 0.7819 
110 :acc 0.8218 , nmi 0.6141 , ari 0.6414 , f1 0.7821 
111 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
112 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
113 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
114 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
115 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
116 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
117 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
118 :acc 0.8218 , nmi 0.6144 , ari 0.6416 , f1 0.7821 
119 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
120 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
121 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
122 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
123 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
124 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
125 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
126 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
127 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
128 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
129 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
130 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
131 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
132 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
133 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
134 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
135 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
136 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
137 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
138 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
139 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
140 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
141 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
142 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
143 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
144 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
145 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
146 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
147 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
148 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
149 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
150 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
151 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
152 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
153 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
154 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
155 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
156 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
157 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
158 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
159 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
160 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
161 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
162 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
163 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
164 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
165 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
166 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
167 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
168 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
169 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
170 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
171 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
172 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
173 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
174 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
175 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
176 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
177 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
178 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
179 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
180 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
181 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
182 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
183 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
184 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
185 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
186 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
187 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
188 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
189 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
190 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
191 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
192 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
193 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
194 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
195 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
196 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
197 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
198 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
199 :acc 0.8217 , nmi 0.6141 , ari 0.6414 , f1 0.7819 
    
