80 :acc 0.8702 , nmi 0.8124 , ari 0.7579 , f1 0.8723
81 :acc 0.8702 , nmi 0.8125 , ari 0.7580 , f1 0.8723
82 :acc 0.8702 , nmi 0.8127 , ari 0.7581 , f1 0.8723
83 :acc 0.8709 , nmi 0.8136 , ari 0.7592 , f1 0.8730
84 :acc 0.8708 , nmi 0.8149 , ari 0.7599 , f1 0.8730
85 :acc 0.8719 , nmi 0.8159 , ari 0.7614 , f1 0.8743
86 :acc 0.8711 , nmi 0.8159 , ari 0.7606 , f1 0.8734
87 :acc 0.8716 , nmi 0.8153 , ari 0.7611 , f1 0.8741
88 :acc 0.8703 , nmi 0.8158 , ari 0.7598 , f1 0.8725
89 :acc 0.8720 , nmi 0.8162 , ari 0.7618 , f1 0.8745
90 :acc 0.8717 , nmi 0.8169 , ari 0.7619 , f1 0.8742
91 :acc 0.8712 , nmi 0.8178 , ari 0.7615 , f1 0.8736
92 :acc 0.8722 , nmi 0.8171 , ari 0.7624 , f1 0.8747
93 :acc 0.8720 , nmi 0.8171 , ari 0.7624 , f1 0.8746
94 :acc 0.8720 , nmi 0.8191 , ari 0.7629 , f1 0.8746
95 :acc 0.8729 , nmi 0.8194 , ari 0.7639 , f1 0.8755
96 :acc 0.8730 , nmi 0.8188 , ari 0.7641 , f1 0.8757
97 :acc 0.8725 , nmi 0.8188 , ari 0.7636 , f1 0.8752
98 :acc 0.8726 , nmi 0.8199 , ari 0.7640 , f1 0.8753
99 :acc 0.8731 , nmi 0.8202 , ari 0.7647 , f1 0.8758
100 :acc 0.8730 , nmi 0.8195 , ari 0.7645 , f1 0.8757 
101 :acc 0.8732 , nmi 0.8206 , ari 0.7649 , f1 0.8759 
102 :acc 0.8733 , nmi 0.8206 , ari 0.7651 , f1 0.8760 
103 :acc 0.8738 , nmi 0.8213 , ari 0.7660 , f1 0.8766 
104 :acc 0.8729 , nmi 0.8203 , ari 0.7649 , f1 0.8757 
105 :acc 0.8732 , nmi 0.8214 , ari 0.7655 , f1 0.8760 
106 :acc 0.8731 , nmi 0.8213 , ari 0.7654 , f1 0.8759 
107 :acc 0.8733 , nmi 0.8213 , ari 0.7658 , f1 0.8761 
108 :acc 0.8743 , nmi 0.8232 , ari 0.7676 , f1 0.8773 
109 :acc 0.8734 , nmi 0.8222 , ari 0.7661 , f1 0.8763 
110 :acc 0.8732 , nmi 0.8222 , ari 0.7660 , f1 0.8761 
111 :acc 0.8743 , nmi 0.8236 , ari 0.7678 , f1 0.8774 
112 :acc 0.8741 , nmi 0.8234 , ari 0.7676 , f1 0.8771 
113 :acc 0.8739 , nmi 0.8239 , ari 0.7675 , f1 0.8769 
114 :acc 0.8746 , nmi 0.8245 , ari 0.7685 , f1 0.8777 
115 :acc 0.8746 , nmi 0.8251 , ari 0.7690 , f1 0.8778 
116 :acc 0.8746 , nmi 0.8251 , ari 0.7688 , f1 0.8777 
117 :acc 0.8746 , nmi 0.8256 , ari 0.7690 , f1 0.8778 
118 :acc 0.8749 , nmi 0.8260 , ari 0.7697 , f1 0.8782 
119 :acc 0.8749 , nmi 0.8261 , ari 0.7698 , f1 0.8782 
120 :acc 0.8750 , nmi 0.8266 , ari 0.7700 , f1 0.8784 
121 :acc 0.8754 , nmi 0.8272 , ari 0.7707 , f1 0.8788 
122 :acc 0.8756 , nmi 0.8276 , ari 0.7711 , f1 0.8790 
123 :acc 0.8754 , nmi 0.8274 , ari 0.7709 , f1 0.8788 
124 :acc 0.8758 , nmi 0.8281 , ari 0.7716 , f1 0.8793 
125 :acc 0.8759 , nmi 0.8288 , ari 0.7720 , f1 0.8794 
126 :acc 0.8762 , nmi 0.8291 , ari 0.7725 , f1 0.8798 
127 :acc 0.8757 , nmi 0.8286 , ari 0.7717 , f1 0.8792 
128 :acc 0.8765 , nmi 0.8304 , ari 0.7734 , f1 0.8802 
129 :acc 0.8755 , nmi 0.8286 , ari 0.7715 , f1 0.8790 
130 :acc 0.8766 , nmi 0.8308 , ari 0.7736 , f1 0.8803 
131 :acc 0.8760 , nmi 0.8291 , ari 0.7723 , f1 0.8796 
132 :acc 0.8757 , nmi 0.8291 , ari 0.7720 , f1 0.8793 
133 :acc 0.8765 , nmi 0.8306 , ari 0.7735 , f1 0.8802 
134 :acc 0.8754 , nmi 0.8289 , ari 0.7717 , f1 0.8790 
135 :acc 0.8764 , nmi 0.8308 , ari 0.7734 , f1 0.8801 
136 :acc 0.8764 , nmi 0.8312 , ari 0.7736 , f1 0.8801 
137 :acc 0.8756 , nmi 0.8299 , ari 0.7722 , f1 0.8792 
138 :acc 0.8764 , nmi 0.8315 , ari 0.7738 , f1 0.8802 
139 :acc 0.8761 , nmi 0.8313 , ari 0.7734 , f1 0.8799 
140 :acc 0.8754 , nmi 0.8299 , ari 0.7721 , f1 0.8791 
141 :acc 0.8765 , nmi 0.8321 , ari 0.7741 , f1 0.8803 
142 :acc 0.8761 , nmi 0.8317 , ari 0.7735 , f1 0.8799 
143 :acc 0.8764 , nmi 0.8320 , ari 0.7739 , f1 0.8802 
144 :acc 0.8768 , nmi 0.8327 , ari 0.7747 , f1 0.8807 
145 :acc 0.8765 , nmi 0.8326 , ari 0.7743 , f1 0.8804 
146 :acc 0.8765 , nmi 0.8326 , ari 0.7743 , f1 0.8804 
147 :acc 0.8773 , nmi 0.8340 , ari 0.7757 , f1 0.8813 
148 :acc 0.8767 , nmi 0.8329 , ari 0.7746 , f1 0.8806 
149 :acc 0.8770 , nmi 0.8335 , ari 0.7752 , f1 0.8810 
150 :acc 0.8778 , nmi 0.8351 , ari 0.7766 , f1 0.8819 
151 :acc 0.8772 , nmi 0.8341 , ari 0.7757 , f1 0.8812 
152 :acc 0.8780 , nmi 0.8354 , ari 0.7770 , f1 0.8822 
153 :acc 0.8777 , nmi 0.8353 , ari 0.7766 , f1 0.8818 
154 :acc 0.8779 , nmi 0.8354 , ari 0.7769 , f1 0.8821 
155 :acc 0.8780 , nmi 0.8362 , ari 0.7774 , f1 0.8822 
156 :acc 0.8782 , nmi 0.8361 , ari 0.7774 , f1 0.8824 
157 :acc 0.8779 , nmi 0.8366 , ari 0.7775 , f1 0.8821 
158 :acc 0.8791 , nmi 0.8378 , ari 0.7791 , f1 0.8835 
159 :acc 0.8779 , nmi 0.8370 , ari 0.7777 , f1 0.8821 
160 :acc 0.8796 , nmi 0.8392 , ari 0.7801 , f1 0.8841 
161 :acc 0.8775 , nmi 0.8365 , ari 0.7771 , f1 0.8815 
162 :acc 0.8794 , nmi 0.8388 , ari 0.7797 , f1 0.8839 
163 :acc 0.8784 , nmi 0.8377 , ari 0.7784 , f1 0.8825 
164 :acc 0.8791 , nmi 0.8382 , ari 0.7792 , f1 0.8834 
165 :acc 0.8796 , nmi 0.8387 , ari 0.7798 , f1 0.8840 
166 :acc 0.8782 , nmi 0.8375 , ari 0.7782 , f1 0.8824 
167 :acc 0.8799 , nmi 0.8393 , ari 0.7803 , f1 0.8844 
168 :acc 0.8798 , nmi 0.8398 , ari 0.7806 , f1 0.8841 
169 :acc 0.8801 , nmi 0.8398 , ari 0.7808 , f1 0.8844 
170 :acc 0.8806 , nmi 0.8402 , ari 0.7814 , f1 0.8850 
171 :acc 0.8796 , nmi 0.8397 , ari 0.7804 , f1 0.8839 
172 :acc 0.8805 , nmi 0.8412 , ari 0.7817 , f1 0.8850 
173 :acc 0.8808 , nmi 0.8413 , ari 0.7820 , f1 0.8852 
174 :acc 0.8803 , nmi 0.8410 , ari 0.7815 , f1 0.8846 
175 :acc 0.8813 , nmi 0.8423 , ari 0.7828 , f1 0.8858 
176 :acc 0.8808 , nmi 0.8414 , ari 0.7821 , f1 0.8851 
177 :acc 0.8808 , nmi 0.8417 , ari 0.7822 , f1 0.8852 
178 :acc 0.8815 , nmi 0.8428 , ari 0.7833 , f1 0.8861 
179 :acc 0.8805 , nmi 0.8417 , ari 0.7820 , f1 0.8849 
180 :acc 0.8815 , nmi 0.8437 , ari 0.7837 , f1 0.8862 
