79 :acc 0.9359 , nmi 0.7634 , ari 0.8186 , f1 0.9361 
80 :acc 0.9362 , nmi 0.7645 , ari 0.8195 , f1 0.9365 
81 :acc 0.9369 , nmi 0.7663 , ari 0.8213 , f1 0.9371 
82 :acc 0.9372 , nmi 0.7672 , ari 0.8222 , f1 0.9374 
83 :acc 0.9369 , nmi 0.7663 , ari 0.8213 , f1 0.9371 
84 :acc 0.9365 , nmi 0.7654 , ari 0.8204 , f1 0.9368 
85 :acc 0.9362 , nmi 0.7645 , ari 0.8196 , f1 0.9364 
86 :acc 0.9362 , nmi 0.7645 , ari 0.8196 , f1 0.9364 
87 :acc 0.9355 , nmi 0.7623 , ari 0.8177 , f1 0.9358 
88 :acc 0.9355 , nmi 0.7623 , ari 0.8177 , f1 0.9358 
89 :acc 0.9355 , nmi 0.7623 , ari 0.8177 , f1 0.9358 
90 :acc 0.9352 , nmi 0.7616 , ari 0.8169 , f1 0.9354 
91 :acc 0.9355 , nmi 0.7626 , ari 0.8178 , f1 0.9358 
92 :acc 0.9359 , nmi 0.7633 , ari 0.8186 , f1 0.9361 
93 :acc 0.9359 , nmi 0.7633 , ari 0.8186 , f1 0.9361 
94 :acc 0.9359 , nmi 0.7630 , ari 0.8186 , f1 0.9361 
95 :acc 0.9362 , nmi 0.7641 , ari 0.8195 , f1 0.9364 
96 :acc 0.9362 , nmi 0.7641 , ari 0.8195 , f1 0.9364 
97 :acc 0.9365 , nmi 0.7650 , ari 0.8204 , f1 0.9368 
98 :acc 0.9362 , nmi 0.7641 , ari 0.8195 , f1 0.9364 
99 :acc 0.9362 , nmi 0.7639 , ari 0.8195 , f1 0.9364 
100 :acc 0.9359 , nmi 0.7633 , ari 0.8186 , f1 0.9361
101 :acc 0.9359 , nmi 0.7632 , ari 0.8186 , f1 0.9361
102 :acc 0.9355 , nmi 0.7621 , ari 0.8177 , f1 0.9358
103 :acc 0.9359 , nmi 0.7632 , ari 0.8186 , f1 0.9361
104 :acc 0.9352 , nmi 0.7614 , ari 0.8169 , f1 0.9355
105 :acc 0.9352 , nmi 0.7614 , ari 0.8169 , f1 0.935
106 :acc 0.9352 , nmi 0.7614 , ari 0.8169 , f1 0.935
107 :acc 0.9355 , nmi 0.7623 , ari 0.8177 , f1 0.935
108 :acc 0.9355 , nmi 0.7623 , ari 0.8177 , f1 0.935
109 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
110 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
111 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
112 :acc 0.9352 , nmi 0.7614 , ari 0.8169 , f1 0.935
113 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
114 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.935
115 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
116 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
117 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
118 :acc 0.9349 , nmi 0.7605 , ari 0.8160 , f1 0.9351
119 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
120 :acc 0.9345 , nmi 0.7596 , ari 0.8151 , f1 0.9348
