acc 0.8278 , nmi 0.6292 , ari 0.6573 , f1 0.7871
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8276 , nmi 0.6287 , ari 0.6567 , f1 0.7869
acc 0.8275 , nmi 0.6286 , ari 0.6565 , f1 0.7868
acc 0.8274 , nmi 0.6284 , ari 0.6562 , f1 0.7867
acc 0.8275 , nmi 0.6285 , ari 0.6565 , f1 0.7868
acc 0.8275 , nmi 0.6285 , ari 0.6565 , f1 0.7868
acc 0.8274 , nmi 0.6285 , ari 0.6562 , f1 0.7867
acc 0.8274 , nmi 0.6285 , ari 0.6562 , f1 0.7867 
acc 0.8274 , nmi 0.6285 , ari 0.6562 , f1 0.7867 
acc 0.8274 , nmi 0.6285 , ari 0.6562 , f1 0.7867 
acc 0.8274 , nmi 0.6285 , ari 0.6562 , f1 0.7867 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8273 , nmi 0.6284 , ari 0.6560 , f1 0.7866 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8272 , nmi 0.6280 , ari 0.6558 , f1 0.7865 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8271 , nmi 0.6276 , ari 0.6556 , f1 0.7864 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863 
acc 0.8269 , nmi 0.6270 , ari 0.6552 , f1 0.7862 
acc 0.8270 , nmi 0.6273 , ari 0.6554 , f1 0.7863
