acc 0.7513, nmi 0.2676, ari 0.3105, f1 0.5158
acc 0.7506, nmi 0.2665, ari 0.3081, f1 0.5151
acc 0.7506, nmi 0.2663, ari 0.3081, f1 0.5151
acc 0.7507, nmi 0.2663, ari 0.3082, f1 0.5152
acc 0.7509, nmi 0.2668, ari 0.3088, f1 0.5153
acc 0.7511, nmi 0.2669, ari 0.3091, f1 0.5155
acc 0.7511, nmi 0.2670, ari 0.3093, f1 0.5155
acc 0.7509, nmi 0.2664, ari 0.3087, f1 0.5153
acc 0.7498, nmi 0.2653, ari 0.3056, f1 0.5144
acc 0.7498, nmi 0.2649, ari 0.3053, f1 0.5143
acc 0.7503, nmi 0.2654, ari 0.3066, f1 0.5147
acc 0.7490, nmi 0.2645, ari 0.3031, f1 0.5136
acc 0.7489, nmi 0.2646, ari 0.3028, f1 0.5135
acc 0.7487, nmi 0.2644, ari 0.3023, f1 0.5134
acc 0.7487, nmi 0.2642, ari 0.3020, f1 0.5133
acc 0.7485, nmi 0.2641, ari 0.3017, f1 0.5132
acc 0.7487, nmi 0.2643, ari 0.3021, f1 0.5133
acc 0.7488, nmi 0.2643, ari 0.3023, f1 0.5134
acc 0.7496, nmi 0.2650, ari 0.3044, f1 0.5140
acc 0.7488, nmi 0.2644, ari 0.3023, f1 0.5134
acc 0.7499, nmi 0.2655, ari 0.3051, f1 0.5142
acc 0.7506, nmi 0.2662, ari 0.3068, f1 0.5148
acc 0.7507, nmi 0.2663, ari 0.3071, f1 0.5149
acc 0.7506, nmi 0.2661, ari 0.3066, f1 0.5147
acc 0.7507, nmi 0.2663, ari 0.3070, f1 0.5148
acc 0.7506, nmi 0.2662, ari 0.3066, f1 0.5147
acc 0.7506, nmi 0.2662, ari 0.3068, f1 0.5148
acc 0.7506, nmi 0.2662, ari 0.3066, f1 0.5147
acc 0.7510, nmi 0.2669, ari 0.3076, f1 0.5150
acc 0.7510, nmi 0.2671, ari 0.3075, f1 0.5150
acc 0.7492, nmi 0.2651, ari 0.3032, f1 0.5137
acc 0.7492, nmi 0.2650, ari 0.3032, f1 0.5136
acc 0.7494, nmi 0.2653, ari 0.3037, f1 0.5138
acc 0.7495, nmi 0.2655, ari 0.3040, f1 0.5139
acc 0.7496, nmi 0.2655, ari 0.3042, f1 0.5139
acc 0.7498, nmi 0.2658, ari 0.3047, f1 0.5141
acc 0.7499, nmi 0.2660, ari 0.3050, f1 0.5142
acc 0.7503, nmi 0.2664, ari 0.3056, f1 0.5144
acc 0.7504, nmi 0.2666, ari 0.3058, f1 0.5145
acc 0.7506, nmi 0.2669, ari 0.3063, f1 0.5146
acc 0.7512, nmi 0.2679, ari 0.3078, f1 0.5151
acc 0.7514, nmi 0.2680, ari 0.3081, f1 0.5152
acc 0.7518, nmi 0.2686, ari 0.3092, f1 0.5155
acc 0.7522, nmi 0.2691, ari 0.3104, f1 0.5159
acc 0.7523, nmi 0.2693, ari 0.3106, f1 0.5160
acc 0.7527, nmi 0.2698, ari 0.3114, f1 0.5162
acc 0.7530, nmi 0.2702, ari 0.3121, f1 0.5164
acc 0.7533, nmi 0.2706, ari 0.3128, f1 0.5166
acc 0.7528, nmi 0.2699, ari 0.3116, f1 0.5163
acc 0.7533, nmi 0.2707, ari 0.3128, f1 0.5167
acc 0.7534, nmi 0.2708, ari 0.3131, f1 0.5167
acc 0.7541, nmi 0.2718, ari 0.3148, f1 0.5172
acc 0.7541, nmi 0.2718, ari 0.3148, f1 0.5172
acc 0.7541, nmi 0.2718, ari 0.3148, f1 0.5172
acc 0.7541, nmi 0.2719, ari 0.3149, f1 0.5173
acc 0.7541, nmi 0.2718, ari 0.3148, f1 0.5172
acc 0.7541, nmi 0.2717, ari 0.3147, f1 0.5172
acc 0.7541, nmi 0.2717, ari 0.3147, f1 0.5172
acc 0.7542, nmi 0.2718, ari 0.3148, f1 0.5173
acc 0.7545, nmi 0.2723, ari 0.3156, f1 0.5175
acc 0.7547, nmi 0.2724, ari 0.3159, f1 0.5176
acc 0.7548, nmi 0.2725, ari 0.3161, f1 0.5177
acc 0.7548, nmi 0.2723, ari 0.3160, f1 0.5176
acc 0.7548, nmi 0.2723, ari 0.3160, f1 0.5176
acc 0.7549, nmi 0.2724, ari 0.3161, f1 0.5177
acc 0.7549, nmi 0.2723, ari 0.3161, f1 0.5177
acc 0.7551, nmi 0.2725, ari 0.3165, f1 0.5178
acc 0.7552, nmi 0.2727, ari 0.3168, f1 0.5179
acc 0.7553, nmi 0.2728, ari 0.3170, f1 0.5180
acc 0.7554, nmi 0.2729, ari 0.3172, f1 0.5180
acc 0.7556, nmi 0.2731, ari 0.3176, f1 0.5181
acc 0.7558, nmi 0.2736, ari 0.3180, f1 0.5183
acc 0.7561, nmi 0.2741, ari 0.3189, f1 0.5185
acc 0.7563, nmi 0.2743, ari 0.3192, f1 0.5187
acc 0.7565, nmi 0.2748, ari 0.3199, f1 0.5188
acc 0.7566, nmi 0.2751, ari 0.3201, f1 0.5189
acc 0.7581, nmi 0.2776, ari 0.3199, f1 0.5191
acc 0.7581, nmi 0.2775, ari 0.3200, f1 0.5192
acc 0.7585, nmi 0.2781, ari 0.3210, f1 0.5195
acc 0.7587, nmi 0.2784, ari 0.3213, f1 0.5196
acc 0.7586, nmi 0.2782, ari 0.3205, f1 0.5193
acc 0.7588, nmi 0.2784, ari 0.3216, f1 0.5196
acc 0.7588, nmi 0.2784, ari 0.3216, f1 0.5196
acc 0.7593, nmi 0.2791, ari 0.3222, f1 0.5199
acc 0.7593, nmi 0.2790, ari 0.3220, f1 0.5198
acc 0.7595, nmi 0.2794, ari 0.3239, f1 0.5203
acc 0.7595, nmi 0.2792, ari 0.3225, f1 0.5200
acc 0.7601, nmi 0.2804, ari 0.3248, f1 0.5206
acc 0.7603, nmi 0.2808, ari 0.3255, f1 0.5208
acc 0.7605, nmi 0.2810, ari 0.3259, f1 0.5209
acc 0.7603, nmi 0.2804, ari 0.3230, f1 0.5202
acc 0.7605, nmi 0.2805, ari 0.3235, f1 0.5204
acc 0.7610, nmi 0.2813, ari 0.3248, f1 0.5208
acc 0.7612, nmi 0.2817, ari 0.3254, f1 0.5209
acc 0.7608, nmi 0.2811, ari 0.3242, f1 0.5206
acc 0.7613, nmi 0.2820, ari 0.3255, f1 0.5210
acc 0.7613, nmi 0.2820, ari 0.3255, f1 0.5210
acc 0.7618, nmi 0.2826, ari 0.3266, f1 0.5213
acc 0.7618, nmi 0.2828, ari 0.3267, f1 0.5214
acc 0.7622, nmi 0.2834, ari 0.3276, f1 0.5216
acc 0.7623, nmi 0.2835, ari 0.3277, f1 0.5216
acc 0.7625, nmi 0.2838, ari 0.3283, f1 0.5218
acc 0.7629, nmi 0.2843, ari 0.3292, f1 0.5221
acc 0.7631, nmi 0.2846, ari 0.3296, f1 0.5222
acc 0.7633, nmi 0.2849, ari 0.3301, f1 0.5224
