79 :acc 0.8172 , nmi 0.8260 , ari 0.7656 , f1 0.7963 
80 :acc 0.8173 , nmi 0.8264 , ari 0.7659 , f1 0.7965 
81 :acc 0.8173 , nmi 0.8262 , ari 0.7658 , f1 0.7964 
82 :acc 0.8173 , nmi 0.8260 , ari 0.7655 , f1 0.7963 
83 :acc 0.8172 , nmi 0.8259 , ari 0.7656 , f1 0.7963 
84 :acc 0.8172 , nmi 0.8259 , ari 0.7655 , f1 0.7961 
85 :acc 0.8171 , nmi 0.8256 , ari 0.7653 , f1 0.7962 
86 :acc 0.8175 , nmi 0.8261 , ari 0.7658 , f1 0.7963 
87 :acc 0.8176 , nmi 0.8263 , ari 0.7660 , f1 0.7964 
88 :acc 0.8178 , nmi 0.8259 , ari 0.7661 , f1 0.7968 
89 :acc 0.8178 , nmi 0.8263 , ari 0.7662 , f1 0.7966 
90 :acc 0.8176 , nmi 0.8258 , ari 0.7660 , f1 0.7965 
91 :acc 0.8177 , nmi 0.8264 , ari 0.7663 , f1 0.7965 
92 :acc 0.8176 , nmi 0.8263 , ari 0.7661 , f1 0.7964 
93 :acc 0.8178 , nmi 0.8265 , ari 0.7664 , f1 0.7965 
94 :acc 0.8180 , nmi 0.8267 , ari 0.7668 , f1 0.7968 
95 :acc 0.8181 , nmi 0.8267 , ari 0.7669 , f1 0.7971 
96 :acc 0.8181 , nmi 0.8269 , ari 0.7671 , f1 0.7969 
97 :acc 0.8183 , nmi 0.8270 , ari 0.7673 , f1 0.7973 
98 :acc 0.8180 , nmi 0.8269 , ari 0.7669 , f1 0.7968 
99 :acc 0.8185 , nmi 0.8273 , ari 0.7675 , f1 0.7972 
100 :acc 0.8182 , nmi 0.8269 , ari 0.7671 , f1 0.7970
101 :acc 0.8188 , nmi 0.8278 , ari 0.7680 , f1 0.7975
102 :acc 0.8183 , nmi 0.8270 , ari 0.7674 , f1 0.7972
103 :acc 0.8189 , nmi 0.8275 , ari 0.7679 , f1 0.7975
104 :acc 0.8187 , nmi 0.8275 , ari 0.7677 , f1 0.7972
105 :acc 0.8185 , nmi 0.8275 , ari 0.7676 , f1 0.7972
106 :acc 0.8191 , nmi 0.8279 , ari 0.7681 , f1 0.7974
107 :acc 0.8190 , nmi 0.8283 , ari 0.7683 , f1 0.7975
108 :acc 0.8189 , nmi 0.8282 , ari 0.7681 , f1 0.7974
109 :acc 0.8194 , nmi 0.8287 , ari 0.7687 , f1 0.7975
110 :acc 0.8189 , nmi 0.8286 , ari 0.7684 , f1 0.7973
111 :acc 0.8190 , nmi 0.8288 , ari 0.7685 , f1 0.7973
112 :acc 0.8190 , nmi 0.8288 , ari 0.7685 , f1 0.7973
113 :acc 0.8191 , nmi 0.8291 , ari 0.7688 , f1 0.7974
114 :acc 0.8192 , nmi 0.8293 , ari 0.7690 , f1 0.7975
115 :acc 0.8194 , nmi 0.8295 , ari 0.7692 , f1 0.7977
116 :acc 0.8194 , nmi 0.8295 , ari 0.7692 , f1 0.7976
117 :acc 0.8192 , nmi 0.8296 , ari 0.7691 , f1 0.7975
118 :acc 0.8194 , nmi 0.8298 , ari 0.7693 , f1 0.7976
119 :acc 0.8193 , nmi 0.8298 , ari 0.7693 , f1 0.7977
120 :acc 0.8194 , nmi 0.8299 , ari 0.7694 , f1 0.7977
121 :acc 0.8193 , nmi 0.8298 , ari 0.7693 , f1 0.7976
122 :acc 0.8196 , nmi 0.8302 , ari 0.7698 , f1 0.7980
123 :acc 0.8196 , nmi 0.8302 , ari 0.7697 , f1 0.7979
124 :acc 0.8199 , nmi 0.8305 , ari 0.7701 , f1 0.7982
125 :acc 0.8199 , nmi 0.8306 , ari 0.7701 , f1 0.7981
126 :acc 0.8199 , nmi 0.8307 , ari 0.7701 , f1 0.7981
127 :acc 0.8199 , nmi 0.8306 , ari 0.7701 , f1 0.7982
128 :acc 0.8201 , nmi 0.8308 , ari 0.7704 , f1 0.7983
129 :acc 0.8200 , nmi 0.8307 , ari 0.7702 , f1 0.7982
130 :acc 0.8204 , nmi 0.8315 , ari 0.7710 , f1 0.7987
131 :acc 0.8204 , nmi 0.8313 , ari 0.7710 , f1 0.7987
132 :acc 0.8204 , nmi 0.8315 , ari 0.7710 , f1 0.7987
133 :acc 0.8204 , nmi 0.8313 , ari 0.7710 , f1 0.7986
134 :acc 0.8206 , nmi 0.8319 , ari 0.7714 , f1 0.7989
135 :acc 0.8207 , nmi 0.8321 , ari 0.7716 , f1 0.7990
136 :acc 0.8207 , nmi 0.8321 , ari 0.7716 , f1 0.7990
137 :acc 0.8206 , nmi 0.8321 , ari 0.7715 , f1 0.7990
138 :acc 0.8209 , nmi 0.8325 , ari 0.7719 , f1 0.7992
139 :acc 0.8208 , nmi 0.8325 , ari 0.7719 , f1 0.7992
140 :acc 0.8208 , nmi 0.8323 , ari 0.7719 , f1 0.7992
141 :acc 0.8209 , nmi 0.8326 , ari 0.7721 , f1 0.7993
142 :acc 0.8209 , nmi 0.8328 , ari 0.7722 , f1 0.7993
143 :acc 0.8210 , nmi 0.8328 , ari 0.7723 , f1 0.7994
144 :acc 0.8210 , nmi 0.8328 , ari 0.7723 , f1 0.7994
145 :acc 0.8211 , nmi 0.8329 , ari 0.7724 , f1 0.7995
146 :acc 0.8211 , nmi 0.8329 , ari 0.7724 , f1 0.7995
147 :acc 0.8210 , nmi 0.8329 , ari 0.7724 , f1 0.7994
148 :acc 0.8211 , nmi 0.8329 , ari 0.7724 , f1 0.7995
149 :acc 0.8209 , nmi 0.8328 , ari 0.7721 , f1 0.7993
150 :acc 0.8209 , nmi 0.8328 , ari 0.7722 , f1 0.7993
151 :acc 0.8211 , nmi 0.8329 , ari 0.7723 , f1 0.7993
152 :acc 0.8211 , nmi 0.8331 , ari 0.7724 , f1 0.7994
153 :acc 0.8209 , nmi 0.8328 , ari 0.7723 , f1 0.7993
154 :acc 0.8214 , nmi 0.8335 , ari 0.7727 , f1 0.7996
155 :acc 0.8211 , nmi 0.8335 , ari 0.7726 , f1 0.7993
156 :acc 0.8214 , nmi 0.8338 , ari 0.7729 , f1 0.7995
157 :acc 0.8213 , nmi 0.8336 , ari 0.7728 , f1 0.7994
158 :acc 0.8214 , nmi 0.8338 , ari 0.7729 , f1 0.7995
159 :acc 0.8210 , nmi 0.8332 , ari 0.7725 , f1 0.7992
160 :acc 0.8214 , nmi 0.8337 , ari 0.7730 , f1 0.7995
161 :acc 0.8214 , nmi 0.8338 , ari 0.7729 , f1 0.7995
162 :acc 0.8211 , nmi 0.8336 , ari 0.7728 , f1 0.7994
163 :acc 0.8213 , nmi 0.8337 , ari 0.7729 , f1 0.7995
164 :acc 0.8213 , nmi 0.8337 , ari 0.7729 , f1 0.7995
165 :acc 0.8214 , nmi 0.8338 , ari 0.7730 , f1 0.7996
166 :acc 0.8211 , nmi 0.8335 , ari 0.7727 , f1 0.7994
167 :acc 0.8214 , nmi 0.8340 , ari 0.7731 , f1 0.7997
168 :acc 0.8213 , nmi 0.8338 , ari 0.7730 , f1 0.7995
169 :acc 0.8214 , nmi 0.8340 , ari 0.7731 , f1 0.7996
170 :acc 0.8214 , nmi 0.8337 , ari 0.7730 , f1 0.7998
171 :acc 0.8215 , nmi 0.8337 , ari 0.7731 , f1 0.7998
172 :acc 0.8215 , nmi 0.8335 , ari 0.7730 , f1 0.8000
173 :acc 0.8215 , nmi 0.8336 , ari 0.7730 , f1 0.8000
174 :acc 0.8215 , nmi 0.8336 , ari 0.7730 , f1 0.8000
175 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
176 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
177 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
178 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
179 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
180 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
181 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
182 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
183 :acc 0.8215 , nmi 0.8333 , ari 0.7728 , f1 0.7999
184 :acc 0.8216 , nmi 0.8334 , ari 0.7730 , f1 0.8000
