acc 0.6078, nmi 0.3223, ari 0.3250, f1 0.5740
acc 0.6032, nmi 0.3194, ari 0.3195, f1 0.5713
acc 0.6011, nmi 0.3174, ari 0.3148, f1 0.5684
acc 0.5789, nmi 0.3018, ari 0.2992, f1 0.5349
acc 0.5774, nmi 0.2991, ari 0.2966, f1 0.5337
acc 0.5768, nmi 0.2986, ari 0.2959, f1 0.5333
acc 0.5780, nmi 0.3019, ari 0.2986, f1 0.5344
acc 0.5774, nmi 0.2999, ari 0.2975, f1 0.5338
acc 0.5741, nmi 0.2985, ari 0.2936, f1 0.5309
acc 0.5765, nmi 0.3014, ari 0.2971, f1 0.5341
acc 0.5765, nmi 0.3010, ari 0.2971, f1 0.5337
acc 0.5780, nmi 0.3023, ari 0.2986, f1 0.5354
acc 0.5798, nmi 0.3042, ari 0.3013, f1 0.5364
acc 0.5990, nmi 0.3151, ari 0.3116, f1 0.5738
acc 0.5996, nmi 0.3157, ari 0.3126, f1 0.5743
acc 0.6005, nmi 0.3190, ari 0.3138, f1 0.5751
acc 0.6011, nmi 0.3190, ari 0.3131, f1 0.5759
acc 0.6020, nmi 0.3207, ari 0.3148, f1 0.5766
acc 0.6008, nmi 0.3193, ari 0.3136, f1 0.5755
acc 0.6044, nmi 0.3222, ari 0.3175, f1 0.5780
acc 0.6026, nmi 0.3208, ari 0.3155, f1 0.5773
acc 0.6029, nmi 0.3233, ari 0.3164, f1 0.5772
acc 0.6063, nmi 0.3242, ari 0.3198, f1 0.5799
acc 0.6060, nmi 0.3262, ari 0.3198, f1 0.5802
acc 0.6072, nmi 0.3277, ari 0.3210, f1 0.5825
acc 0.6111, nmi 0.3316, ari 0.3269, f1 0.5846
acc 0.6108, nmi 0.3308, ari 0.3261, f1 0.5846
acc 0.6120, nmi 0.3357, ari 0.3295, f1 0.5858
acc 0.6132, nmi 0.3365, ari 0.3306, f1 0.5874
acc 0.6141, nmi 0.3374, ari 0.3320, f1 0.5879
acc 0.6144, nmi 0.3380, ari 0.3321, f1 0.5885
acc 0.6162, nmi 0.3404, ari 0.3353, f1 0.5895
acc 0.6186, nmi 0.3432, ari 0.3383, f1 0.5914
acc 0.6183, nmi 0.3428, ari 0.3378, f1 0.5910
acc 0.6180, nmi 0.3430, ari 0.3376, f1 0.5911
acc 0.6204, nmi 0.3456, ari 0.3397, f1 0.5935
acc 0.6219, nmi 0.3479, ari 0.3422, f1 0.5949
acc 0.6222, nmi 0.3496, ari 0.3438, f1 0.5942
acc 0.6252, nmi 0.3524, ari 0.3475, f1 0.5966
acc 0.6264, nmi 0.3547, ari 0.3501, f1 0.5977
acc 0.6285, nmi 0.3557, ari 0.3516, f1 0.5985
acc 0.6273, nmi 0.3563, ari 0.3519, f1 0.5986
acc 0.6291, nmi 0.3589, ari 0.3543, f1 0.6004
acc 0.6282, nmi 0.3579, ari 0.3532, f1 0.5995
acc 0.6294, nmi 0.3594, ari 0.3541, f1 0.5993
acc 0.6291, nmi 0.3593, ari 0.3538, f1 0.5989
acc 0.6276, nmi 0.3592, ari 0.3536, f1 0.5991
acc 0.6309, nmi 0.3616, ari 0.3576, f1 0.6017
acc 0.6339, nmi 0.3645, ari 0.3611, f1 0.6040
acc 0.6303, nmi 0.3633, ari 0.3566, f1 0.5968
acc 0.6282, nmi 0.3618, ari 0.3558, f1 0.5936
acc 0.6294, nmi 0.3634, ari 0.3578, f1 0.5911
acc 0.6300, nmi 0.3643, ari 0.3592, f1 0.5917
acc 0.6303, nmi 0.3654, ari 0.3596, f1 0.5924
acc 0.6315, nmi 0.3659, ari 0.3598, f1 0.5957
acc 0.6309, nmi 0.3661, ari 0.3608, f1 0.5927
acc 0.6333, nmi 0.3691, ari 0.3639, f1 0.5955
acc 0.6342, nmi 0.3705, ari 0.3651, f1 0.5964
acc 0.6345, nmi 0.3706, ari 0.3656, f1 0.5967
acc 0.6381, nmi 0.3726, ari 0.3695, f1 0.6018
acc 0.6396, nmi 0.3735, ari 0.3706, f1 0.6039
acc 0.6378, nmi 0.3730, ari 0.3689, f1 0.6003
acc 0.6372, nmi 0.3729, ari 0.3692, f1 0.6009
acc 0.6393, nmi 0.3754, ari 0.3719, f1 0.6033
acc 0.6378, nmi 0.3756, ari 0.3707, f1 0.6048
acc 0.6423, nmi 0.3797, ari 0.3764, f1 0.6058
acc 0.6402, nmi 0.3767, ari 0.3744, f1 0.6033
acc 0.6420, nmi 0.3794, ari 0.3770, f1 0.6055
acc 0.6426, nmi 0.3792, ari 0.3778, f1 0.6050
acc 0.6426, nmi 0.3794, ari 0.3780, f1 0.6050
acc 0.6378, nmi 0.3747, ari 0.3704, f1 0.6008
acc 0.6417, nmi 0.3799, ari 0.3765, f1 0.6053
acc 0.6435, nmi 0.3817, ari 0.3800, f1 0.6064
acc 0.6423, nmi 0.3793, ari 0.3771, f1 0.6053
acc 0.6426, nmi 0.3813, ari 0.3780, f1 0.6074
acc 0.6414, nmi 0.3795, ari 0.3758, f1 0.6049
acc 0.6357, nmi 0.3758, ari 0.3689, f1 0.6005
acc 0.6453, nmi 0.3844, ari 0.3828, f1 0.6094
acc 0.6459, nmi 0.3850, ari 0.3837, f1 0.6103
acc 0.6474, nmi 0.3866, ari 0.3858, f1 0.6114
acc 0.6468, nmi 0.3866, ari 0.3854, f1 0.6113
acc 0.6405, nmi 0.3814, ari 0.3762, f1 0.6039
acc 0.6456, nmi 0.3863, ari 0.3845, f1 0.6096
acc 0.6459, nmi 0.3869, ari 0.3855, f1 0.6095
acc 0.6459, nmi 0.3870, ari 0.3857, f1 0.6094
acc 0.6456, nmi 0.3870, ari 0.3852, f1 0.6092
acc 0.6456, nmi 0.3872, ari 0.3855, f1 0.6092
acc 0.6456, nmi 0.3875, ari 0.3856, f1 0.6092
acc 0.6468, nmi 0.3882, ari 0.3868, f1 0.6102
acc 0.6471, nmi 0.3880, ari 0.3875, f1 0.6106
acc 0.6450, nmi 0.3861, ari 0.3845, f1 0.6087
acc 0.6450, nmi 0.3861, ari 0.3845, f1 0.6087
acc 0.6459, nmi 0.3868, ari 0.3855, f1 0.6095
acc 0.6468, nmi 0.3884, ari 0.3871, f1 0.6104
acc 0.6486, nmi 0.3899, ari 0.3896, f1 0.6120
acc 0.6471, nmi 0.3886, ari 0.3880, f1 0.6107
acc 0.6477, nmi 0.3887, ari 0.3883, f1 0.6112
acc 0.6468, nmi 0.3886, ari 0.3876, f1 0.6105
acc 0.6240, nmi 0.3899, ari 0.3746, f1 0.6066
acc 0.6246, nmi 0.3899, ari 0.3751, f1 0.6068
acc 0.6258, nmi 0.3918, ari 0.3770, f1 0.6081
acc 0.6267, nmi 0.3921, ari 0.3776, f1 0.6088
acc 0.6258, nmi 0.3906, ari 0.3758, f1 0.6084
acc 0.6261, nmi 0.3914, ari 0.3767, f1 0.6085
acc 0.6267, nmi 0.3914, ari 0.3772, f1 0.6089
acc 0.6270, nmi 0.3917, ari 0.3775, f1 0.6093
acc 0.6270, nmi 0.3916, ari 0.3769, f1 0.6098
acc 0.6276, nmi 0.3914, ari 0.3773, f1 0.6102
acc 0.6285, nmi 0.3929, ari 0.3788, f1 0.6110
acc 0.6285, nmi 0.3924, ari 0.3783, f1 0.6111
acc 0.6282, nmi 0.3924, ari 0.3787, f1 0.6104
acc 0.6288, nmi 0.3931, ari 0.3795, f1 0.6110
acc 0.6285, nmi 0.3934, ari 0.3795, f1 0.6108
acc 0.6297, nmi 0.3935, ari 0.3804, f1 0.6118
acc 0.6294, nmi 0.3926, ari 0.3796, f1 0.6116
acc 0.6309, nmi 0.3942, ari 0.3823, f1 0.6124
acc 0.6306, nmi 0.3930, ari 0.3816, f1 0.6120
acc 0.6285, nmi 0.3920, ari 0.3787, f1 0.6111
acc 0.6282, nmi 0.3922, ari 0.3785, f1 0.6109
acc 0.6279, nmi 0.3920, ari 0.3785, f1 0.6103
acc 0.6282, nmi 0.3922, ari 0.3787, f1 0.6107
acc 0.6288, nmi 0.3923, ari 0.3791, f1 0.6112
acc 0.6306, nmi 0.3917, ari 0.3800, f1 0.6125
acc 0.6291, nmi 0.3922, ari 0.3795, f1 0.6111
acc 0.6321, nmi 0.3935, ari 0.3818, f1 0.6141
acc 0.6327, nmi 0.3941, ari 0.3829, f1 0.6145
acc 0.6336, nmi 0.3949, ari 0.3838, f1 0.6152
acc 0.6333, nmi 0.3947, ari 0.3835, f1 0.6150
acc 0.6339, nmi 0.3950, ari 0.3841, f1 0.6154
acc 0.6336, nmi 0.3956, ari 0.3842, f1 0.6154
acc 0.6342, nmi 0.3969, ari 0.3860, f1 0.6154
acc 0.6345, nmi 0.3973, ari 0.3864, f1 0.6157
acc 0.6351, nmi 0.3980, ari 0.3872, f1 0.6162
acc 0.6351, nmi 0.3979, ari 0.3870, f1 0.6164
acc 0.6354, nmi 0.3980, ari 0.3873, f1 0.6167
acc 0.6357, nmi 0.3982, ari 0.3875, f1 0.6169
acc 0.6351, nmi 0.3972, ari 0.3864, f1 0.6165
acc 0.6351, nmi 0.3974, ari 0.3864, f1 0.6165
acc 0.6354, nmi 0.3972, ari 0.3866, f1 0.6167
acc 0.6351, nmi 0.3961, ari 0.3856, f1 0.6165
acc 0.6357, nmi 0.3972, ari 0.3866, f1 0.6170
acc 0.6333, nmi 0.3955, ari 0.3833, f1 0.6151
acc 0.6351, nmi 0.3972, ari 0.3859, f1 0.6163
acc 0.6345, nmi 0.3964, ari 0.3848, f1 0.6159
acc 0.6345, nmi 0.3967, ari 0.3855, f1 0.6157
acc 0.6345, nmi 0.3967, ari 0.3855, f1 0.6157
acc 0.6345, nmi 0.3970, ari 0.3859, f1 0.6156
acc 0.6351, nmi 0.3977, ari 0.3867, f1 0.6162
acc 0.6360, nmi 0.3986, ari 0.3878, f1 0.6170
acc 0.6348, nmi 0.3974, ari 0.3859, f1 0.6164
acc 0.6357, nmi 0.3976, ari 0.3865, f1 0.6172
acc 0.6354, nmi 0.3975, ari 0.3861, f1 0.6171
acc 0.6357, nmi 0.3975, ari 0.3861, f1 0.6175
acc 0.6372, nmi 0.3984, ari 0.3873, f1 0.6189
acc 0.6360, nmi 0.3970, ari 0.3854, f1 0.6179
acc 0.6357, nmi 0.3977, ari 0.3862, f1 0.6172
acc 0.6363, nmi 0.3980, ari 0.3867, f1 0.6178
acc 0.6363, nmi 0.3983, ari 0.3868, f1 0.6179
acc 0.6372, nmi 0.3990, ari 0.3876, f1 0.6189
acc 0.6372, nmi 0.3999, ari 0.3884, f1 0.6188
acc 0.6369, nmi 0.3991, ari 0.3876, f1 0.6185
acc 0.6363, nmi 0.3988, ari 0.3870, f1 0.6181
acc 0.6369, nmi 0.3988, ari 0.3870, f1 0.6194
acc 0.6381, nmi 0.3991, ari 0.3876, f1 0.6206
acc 0.6372, nmi 0.3991, ari 0.3871, f1 0.6199
acc 0.6375, nmi 0.3995, ari 0.3875, f1 0.6202
acc 0.6372, nmi 0.3991, ari 0.3870, f1 0.6200
acc 0.6399, nmi 0.4004, ari 0.3891, f1 0.6227
acc 0.6399, nmi 0.4001, ari 0.3890, f1 0.6227
acc 0.6390, nmi 0.4001, ari 0.3880, f1 0.6223
acc 0.6387, nmi 0.3998, ari 0.3876, f1 0.6221
acc 0.6387, nmi 0.3998, ari 0.3876, f1 0.6221
acc 0.6387, nmi 0.4004, ari 0.3883, f1 0.6220
acc 0.6378, nmi 0.3986, ari 0.3863, f1 0.6212
acc 0.6375, nmi 0.3997, ari 0.3866, f1 0.6211
acc 0.6369, nmi 0.3988, ari 0.3859, f1 0.6205
acc 0.6375, nmi 0.3984, ari 0.3859, f1 0.6209
acc 0.6384, nmi 0.4003, ari 0.3876, f1 0.6218
acc 0.6378, nmi 0.3995, ari 0.3868, f1 0.6212
acc 0.6378, nmi 0.4003, ari 0.3871, f1 0.6214
acc 0.6378, nmi 0.4012, ari 0.3875, f1 0.6215
acc 0.6378, nmi 0.4022, ari 0.3880, f1 0.6218
acc 0.6384, nmi 0.4009, ari 0.3879, f1 0.6219
acc 0.6402, nmi 0.3997, ari 0.3897, f1 0.6226
acc 0.6399, nmi 0.4017, ari 0.3901, f1 0.6227
acc 0.6381, nmi 0.4006, ari 0.3879, f1 0.6214
acc 0.6402, nmi 0.3999, ari 0.3899, f1 0.6227
acc 0.6393, nmi 0.4002, ari 0.3892, f1 0.6220
acc 0.6399, nmi 0.4000, ari 0.3896, f1 0.6225
acc 0.6426, nmi 0.4015, ari 0.3923, f1 0.6244
acc 0.6420, nmi 0.4012, ari 0.3918, f1 0.6240
acc 0.6399, nmi 0.4002, ari 0.3896, f1 0.6226
acc 0.6405, nmi 0.4009, ari 0.3902, f1 0.6233
acc 0.6420, nmi 0.4002, ari 0.3901, f1 0.6247
acc 0.6414, nmi 0.3998, ari 0.3894, f1 0.6242
acc 0.6423, nmi 0.4002, ari 0.3908, f1 0.6246
acc 0.6417, nmi 0.4003, ari 0.3902, f1 0.6243
acc 0.6426, nmi 0.4011, ari 0.3910, f1 0.6252
acc 0.6435, nmi 0.4016, ari 0.3922, f1 0.6259
acc 0.6438, nmi 0.4018, ari 0.3923, f1 0.6261
