acc 0.6844, nmi 0.4337, ari 0.4453, f1 0.6289
acc 0.6856, nmi 0.4353, ari 0.4470, f1 0.6299
acc 0.6859, nmi 0.4359, ari 0.4477, f1 0.6301
acc 0.6859, nmi 0.4358, ari 0.4476, f1 0.6302
acc 0.6862, nmi 0.4362, ari 0.4485, f1 0.6305
acc 0.6871, nmi 0.4374, ari 0.4502, f1 0.6312
acc 0.6883, nmi 0.4369, ari 0.4504, f1 0.6331
acc 0.6877, nmi 0.4364, ari 0.4498, f1 0.6326
acc 0.6865, nmi 0.4345, ari 0.4481, f1 0.6315
acc 0.6865, nmi 0.4348, ari 0.4487, f1 0.6311
acc 0.6859, nmi 0.4341, ari 0.4476, f1 0.6306
acc 0.6865, nmi 0.4353, ari 0.4490, f1 0.6311
acc 0.6862, nmi 0.4352, ari 0.4489, f1 0.6304
acc 0.6883, nmi 0.4365, ari 0.4515, f1 0.6315
acc 0.6892, nmi 0.4382, ari 0.4530, f1 0.6322
acc 0.6898, nmi 0.4388, ari 0.4545, f1 0.6327
acc 0.6898, nmi 0.4386, ari 0.4543, f1 0.6327
acc 0.6901, nmi 0.4385, ari 0.4548, f1 0.6328
acc 0.6898, nmi 0.4377, ari 0.4540, f1 0.6325
acc 0.6898, nmi 0.4373, ari 0.4539, f1 0.6326
acc 0.6895, nmi 0.4370, ari 0.4533, f1 0.6324
acc 0.6898, nmi 0.4378, ari 0.4542, f1 0.6325
acc 0.6904, nmi 0.4388, ari 0.4551, f1 0.6330
acc 0.6898, nmi 0.4391, ari 0.4550, f1 0.6325
acc 0.6898, nmi 0.4395, ari 0.4551, f1 0.6323
acc 0.6901, nmi 0.4400, ari 0.4557, f1 0.6326
acc 0.6904, nmi 0.4405, ari 0.4564, f1 0.6328
acc 0.6901, nmi 0.4401, ari 0.4561, f1 0.6319
acc 0.6901, nmi 0.4404, ari 0.4562, f1 0.6325
acc 0.6901, nmi 0.4406, ari 0.4564, f1 0.6325
acc 0.6895, nmi 0.4402, ari 0.4557, f1 0.6320
acc 0.6886, nmi 0.4402, ari 0.4551, f1 0.6314
acc 0.6889, nmi 0.4407, ari 0.4558, f1 0.6317
acc 0.6889, nmi 0.4407, ari 0.4558, f1 0.6317
acc 0.6889, nmi 0.4405, ari 0.4557, f1 0.6315
acc 0.6895, nmi 0.4412, ari 0.4568, f1 0.6319
acc 0.6892, nmi 0.4407, ari 0.4563, f1 0.6316
acc 0.6889, nmi 0.4406, ari 0.4560, f1 0.6313
acc 0.6886, nmi 0.4402, ari 0.4554, f1 0.6310
acc 0.6889, nmi 0.4403, ari 0.4556, f1 0.6313
acc 0.6889, nmi 0.4404, ari 0.4556, f1 0.6313
acc 0.6889, nmi 0.4404, ari 0.4556, f1 0.6313
acc 0.6880, nmi 0.4400, ari 0.4547, f1 0.6305
acc 0.6883, nmi 0.4397, ari 0.4547, f1 0.6308
acc 0.6874, nmi 0.4388, ari 0.4537, f1 0.6301
acc 0.6871, nmi 0.4383, ari 0.4532, f1 0.6298
acc 0.6892, nmi 0.4395, ari 0.4551, f1 0.6309
acc 0.6886, nmi 0.4393, ari 0.4546, f1 0.6304
acc 0.6883, nmi 0.4388, ari 0.4540, f1 0.6302
acc 0.6874, nmi 0.4390, ari 0.4532, f1 0.6306
acc 0.6874, nmi 0.4389, ari 0.4532, f1 0.6306
acc 0.6874, nmi 0.4389, ari 0.4532, f1 0.6306
acc 0.6874, nmi 0.4389, ari 0.4532, f1 0.6306
acc 0.6871, nmi 0.4385, ari 0.4528, f1 0.6304
acc 0.6871, nmi 0.4385, ari 0.4528, f1 0.6304
acc 0.6871, nmi 0.4385, ari 0.4528, f1 0.6304
acc 0.6871, nmi 0.4385, ari 0.4528, f1 0.6304
acc 0.6871, nmi 0.4385, ari 0.4528, f1 0.6304
acc 0.6871, nmi 0.4378, ari 0.4524, f1 0.6303
acc 0.6868, nmi 0.4375, ari 0.4520, f1 0.6301
acc 0.6874, nmi 0.4382, ari 0.4528, f1 0.6306
acc 0.6874, nmi 0.4382, ari 0.4528, f1 0.6306
acc 0.6871, nmi 0.4378, ari 0.4526, f1 0.6298
acc 0.6871, nmi 0.4378, ari 0.4526, f1 0.6298
acc 0.6871, nmi 0.4378, ari 0.4526, f1 0.6298
acc 0.6874, nmi 0.4379, ari 0.4527, f1 0.6306
acc 0.6874, nmi 0.4379, ari 0.4527, f1 0.6306
acc 0.6874, nmi 0.4379, ari 0.4527, f1 0.6306
acc 0.6871, nmi 0.4376, ari 0.4522, f1 0.6303
acc 0.6868, nmi 0.4375, ari 0.4520, f1 0.6301
acc 0.6868, nmi 0.4375, ari 0.4520, f1 0.6301
acc 0.6868, nmi 0.4377, ari 0.4519, f1 0.6301
acc 0.6868, nmi 0.4377, ari 0.4519, f1 0.6301
acc 0.6862, nmi 0.4376, ari 0.4515, f1 0.6291
acc 0.6865, nmi 0.4380, ari 0.4520, f1 0.6294
acc 0.6865, nmi 0.4380, ari 0.4520, f1 0.6294
acc 0.6862, nmi 0.4380, ari 0.4519, f1 0.6293
acc 0.6859, nmi 0.4379, ari 0.4516, f1 0.6290
acc 0.6859, nmi 0.4379, ari 0.4516, f1 0.6290
acc 0.6856, nmi 0.4374, ari 0.4512, f1 0.6288
acc 0.6856, nmi 0.4374, ari 0.4512, f1 0.6288
acc 0.6859, nmi 0.4378, ari 0.4517, f1 0.6291
acc 0.6859, nmi 0.4378, ari 0.4517, f1 0.6291
acc 0.6850, nmi 0.4375, ari 0.4507, f1 0.6289
acc 0.6865, nmi 0.4385, ari 0.4522, f1 0.6301
acc 0.6862, nmi 0.4380, ari 0.4517, f1 0.6298
acc 0.6859, nmi 0.4379, ari 0.4514, f1 0.6296
acc 0.6778, nmi 0.4360, ari 0.4459, f1 0.6234
acc 0.6775, nmi 0.4359, ari 0.4457, f1 0.6232
acc 0.6775, nmi 0.4359, ari 0.4457, f1 0.6232
acc 0.6775, nmi 0.4358, ari 0.4456, f1 0.6231
acc 0.6775, nmi 0.4358, ari 0.4456, f1 0.6231
acc 0.6775, nmi 0.4358, ari 0.4456, f1 0.6231
acc 0.6775, nmi 0.4358, ari 0.4456, f1 0.6231
acc 0.6772, nmi 0.4357, ari 0.4454, f1 0.6228
acc 0.6757, nmi 0.4352, ari 0.4442, f1 0.6218
acc 0.6766, nmi 0.4348, ari 0.4443, f1 0.6223
acc 0.6763, nmi 0.4351, ari 0.4444, f1 0.6226
acc 0.6784, nmi 0.4353, ari 0.4457, f1 0.6237
acc 0.6754, nmi 0.4349, ari 0.4439, f1 0.6219
acc 0.6778, nmi 0.4351, ari 0.4453, f1 0.6232
acc 0.6757, nmi 0.4349, ari 0.4440, f1 0.6221
acc 0.6754, nmi 0.4347, ari 0.4438, f1 0.6219
acc 0.6751, nmi 0.4347, ari 0.4436, f1 0.6216
