acc 0.7136, nmi 0.4459, ari 0.4828, f1 0.6458
acc 0.7142, nmi 0.4464, ari 0.4833, f1 0.6462
acc 0.7142, nmi 0.4463, ari 0.4831, f1 0.6462
acc 0.7145, nmi 0.4466, ari 0.4835, f1 0.6464
acc 0.7136, nmi 0.4460, ari 0.4826, f1 0.6444
acc 0.7142, nmi 0.4463, ari 0.4825, f1 0.6438
acc 0.7148, nmi 0.4464, ari 0.4831, f1 0.6456
acc 0.7151, nmi 0.4472, ari 0.4835, f1 0.6435
acc 0.7160, nmi 0.4479, ari 0.4842, f1 0.6448
acc 0.7160, nmi 0.4479, ari 0.4842, f1 0.6448
acc 0.7160, nmi 0.4477, ari 0.4838, f1 0.6448
acc 0.7163, nmi 0.4479, ari 0.4841, f1 0.6450
acc 0.7166, nmi 0.4483, ari 0.4845, f1 0.6444
acc 0.7142, nmi 0.4479, ari 0.4829, f1 0.6402
acc 0.7169, nmi 0.4481, ari 0.4843, f1 0.6437
acc 0.7169, nmi 0.4478, ari 0.4840, f1 0.6436
acc 0.7157, nmi 0.4476, ari 0.4828, f1 0.6414
acc 0.7154, nmi 0.4473, ari 0.4824, f1 0.6412
acc 0.7145, nmi 0.4470, ari 0.4818, f1 0.6400
acc 0.7139, nmi 0.4465, ari 0.4812, f1 0.6388
acc 0.7139, nmi 0.4468, ari 0.4807, f1 0.6379
acc 0.7139, nmi 0.4467, ari 0.4804, f1 0.6377
acc 0.7139, nmi 0.4463, ari 0.4802, f1 0.6376
acc 0.7145, nmi 0.4466, ari 0.4807, f1 0.6379
acc 0.7145, nmi 0.4468, ari 0.4809, f1 0.6380
acc 0.7148, nmi 0.4466, ari 0.4808, f1 0.6381
acc 0.7148, nmi 0.4470, ari 0.4805, f1 0.6373
acc 0.7151, nmi 0.4474, ari 0.4813, f1 0.6376
acc 0.7151, nmi 0.4474, ari 0.4813, f1 0.6376
acc 0.7154, nmi 0.4476, ari 0.4817, f1 0.6378
acc 0.7148, nmi 0.4463, ari 0.4798, f1 0.6362
acc 0.7187, nmi 0.4490, ari 0.4835, f1 0.6363
acc 0.7187, nmi 0.4490, ari 0.4835, f1 0.6363
acc 0.7160, nmi 0.4471, ari 0.4805, f1 0.6349
