acc 0.6078, nmi 0.3223, ari 0.3250, f1 0.5740
acc 0.6186, nmi 0.3413, ari 0.3445, f1 0.5858
acc 0.6267, nmi 0.3543, ari 0.3543, f1 0.5924
acc 0.6312, nmi 0.3638, ari 0.3633, f1 0.5995
acc 0.6408, nmi 0.3716, ari 0.3731, f1 0.6041
acc 0.6396, nmi 0.3744, ari 0.3727, f1 0.6019
acc 0.6414, nmi 0.3783, ari 0.3766, f1 0.6037
acc 0.6414, nmi 0.3815, ari 0.3787, f1 0.6041
acc 0.6390, nmi 0.3829, ari 0.3784, f1 0.6018
acc 0.6405, nmi 0.3861, ari 0.3816, f1 0.6033
acc 0.6396, nmi 0.3857, ari 0.3810, f1 0.6021
acc 0.6393, nmi 0.3870, ari 0.3816, f1 0.6014
acc 0.6417, nmi 0.3914, ari 0.3915, f1 0.6056
acc 0.6279, nmi 0.3837, ari 0.3785, f1 0.5918
acc 0.6156, nmi 0.3861, ari 0.3778, f1 0.5918
acc 0.6168, nmi 0.3852, ari 0.3693, f1 0.5932
acc 0.6165, nmi 0.3869, ari 0.3709, f1 0.5924
acc 0.6183, nmi 0.3887, ari 0.3729, f1 0.5939
acc 0.6234, nmi 0.3904, ari 0.3765, f1 0.5987
acc 0.6240, nmi 0.3942, ari 0.3816, f1 0.5965
acc 0.6261, nmi 0.3951, ari 0.3840, f1 0.5979
acc 0.6279, nmi 0.3973, ari 0.3872, f1 0.5993
acc 0.6327, nmi 0.4014, ari 0.3933, f1 0.6036
acc 0.6357, nmi 0.4071, ari 0.4008, f1 0.6047
acc 0.6372, nmi 0.4084, ari 0.4034, f1 0.6052
acc 0.6405, nmi 0.4115, ari 0.4076, f1 0.6081
acc 0.6423, nmi 0.4138, ari 0.4111, f1 0.6094
acc 0.6417, nmi 0.4140, ari 0.4107, f1 0.6093
acc 0.6438, nmi 0.4168, ari 0.4161, f1 0.6084
acc 0.6375, nmi 0.4171, ari 0.4109, f1 0.6049
acc 0.6411, nmi 0.4214, ari 0.4155, f1 0.6088
acc 0.6432, nmi 0.4240, ari 0.4201, f1 0.6109
acc 0.6450, nmi 0.4246, ari 0.4225, f1 0.6117
acc 0.6480, nmi 0.4250, ari 0.4250, f1 0.6144
acc 0.6474, nmi 0.4269, ari 0.4275, f1 0.6112
acc 0.6507, nmi 0.4260, ari 0.4276, f1 0.6163
acc 0.6546, nmi 0.4274, ari 0.4305, f1 0.6197
acc 0.6528, nmi 0.4268, ari 0.4301, f1 0.6170
acc 0.6775, nmi 0.4253, ari 0.4411, f1 0.6419
acc 0.6784, nmi 0.4266, ari 0.4436, f1 0.6419
acc 0.6778, nmi 0.4278, ari 0.4442, f1 0.6413
acc 0.6865, nmi 0.4306, ari 0.4521, f1 0.6480
acc 0.6889, nmi 0.4331, ari 0.4559, f1 0.6491
acc 0.6904, nmi 0.4357, ari 0.4586, f1 0.6507
acc 0.6916, nmi 0.4366, ari 0.4605, f1 0.6509
acc 0.6925, nmi 0.4377, ari 0.4621, f1 0.6514
acc 0.6934, nmi 0.4381, ari 0.4634, f1 0.6513
acc 0.6955, nmi 0.4383, ari 0.4649, f1 0.6523
acc 0.6967, nmi 0.4395, ari 0.4665, f1 0.6532
acc 0.6970, nmi 0.4397, ari 0.4669, f1 0.6530
acc 0.6988, nmi 0.4402, ari 0.4680, f1 0.6548
acc 0.6991, nmi 0.4404, ari 0.4680, f1 0.6546
acc 0.7003, nmi 0.4408, ari 0.4695, f1 0.6540
acc 0.7009, nmi 0.4407, ari 0.4696, f1 0.6544
acc 0.7045, nmi 0.4444, ari 0.4732, f1 0.6558
acc 0.7042, nmi 0.4435, ari 0.4721, f1 0.6554
acc 0.7051, nmi 0.4441, ari 0.4731, f1 0.6557
acc 0.7051, nmi 0.4438, ari 0.4732, f1 0.6554
acc 0.7054, nmi 0.4442, ari 0.4741, f1 0.6557
acc 0.7057, nmi 0.4439, ari 0.4741, f1 0.6550
acc 0.7054, nmi 0.4437, ari 0.4738, f1 0.6538
acc 0.7063, nmi 0.4440, ari 0.4745, f1 0.6542
acc 0.7069, nmi 0.4451, ari 0.4762, f1 0.6533
acc 0.7078, nmi 0.4462, ari 0.4779, f1 0.6536
acc 0.7090, nmi 0.4468, ari 0.4791, f1 0.6540
acc 0.6994, nmi 0.4450, ari 0.4734, f1 0.6445
acc 0.7027, nmi 0.4469, ari 0.4778, f1 0.6467
acc 0.7027, nmi 0.4469, ari 0.4778, f1 0.6467
acc 0.7030, nmi 0.4473, ari 0.4777, f1 0.6469
acc 0.7042, nmi 0.4484, ari 0.4794, f1 0.6478
acc 0.7054, nmi 0.4488, ari 0.4805, f1 0.6486
acc 0.7045, nmi 0.4475, ari 0.4794, f1 0.6467
acc 0.7039, nmi 0.4463, ari 0.4781, f1 0.6454
acc 0.7042, nmi 0.4456, ari 0.4776, f1 0.6459
acc 0.7045, nmi 0.4455, ari 0.4773, f1 0.6434
acc 0.7054, nmi 0.4460, ari 0.4784, f1 0.6453
acc 0.7048, nmi 0.4458, ari 0.4775, f1 0.6436
acc 0.7054, nmi 0.4457, ari 0.4779, f1 0.6439
acc 0.7057, nmi 0.4457, ari 0.4781, f1 0.6440
acc 0.7063, nmi 0.4459, ari 0.4784, f1 0.6444
acc 0.7069, nmi 0.4455, ari 0.4786, f1 0.6439
acc 0.7066, nmi 0.4453, ari 0.4779, f1 0.6424
acc 0.7063, nmi 0.4448, ari 0.4772, f1 0.6420
acc 0.7060, nmi 0.4445, ari 0.4767, f1 0.6411
