acc 0.6078, nmi 0.3223, ari 0.3250, f1 0.5740
acc 0.6066, nmi 0.3220, ari 0.3233, f1 0.5739
acc 0.6008, nmi 0.3172, ari 0.3143, f1 0.5682
acc 0.5768, nmi 0.3002, ari 0.2971, f1 0.5327
acc 0.5777, nmi 0.3008, ari 0.2976, f1 0.5332
acc 0.5753, nmi 0.2982, ari 0.2953, f1 0.5305
acc 0.5735, nmi 0.2963, ari 0.2923, f1 0.5301
acc 0.5738, nmi 0.2964, ari 0.2930, f1 0.5305
acc 0.5708, nmi 0.2951, ari 0.2902, f1 0.5276
acc 0.5657, nmi 0.2915, ari 0.2832, f1 0.5245
acc 0.5744, nmi 0.2979, ari 0.2944, f1 0.5314
acc 0.5975, nmi 0.3102, ari 0.3078, f1 0.5717
acc 0.5969, nmi 0.3096, ari 0.3073, f1 0.5712
acc 0.5966, nmi 0.3092, ari 0.3072, f1 0.5713
acc 0.5960, nmi 0.3088, ari 0.3063, f1 0.5705
acc 0.5945, nmi 0.3085, ari 0.3054, f1 0.5695
acc 0.5954, nmi 0.3092, ari 0.3060, f1 0.5698
acc 0.5948, nmi 0.3105, ari 0.3039, f1 0.5692
acc 0.5972, nmi 0.3109, ari 0.3064, f1 0.5711
acc 0.5969, nmi 0.3122, ari 0.3062, f1 0.5710
acc 0.5957, nmi 0.3110, ari 0.3047, f1 0.5699
acc 0.5954, nmi 0.3100, ari 0.3035, f1 0.5696
acc 0.5957, nmi 0.3110, ari 0.3047, f1 0.5698
acc 0.5720, nmi 0.2954, ari 0.2912, f1 0.5283
acc 0.5702, nmi 0.2938, ari 0.2890, f1 0.5270
acc 0.5717, nmi 0.2949, ari 0.2906, f1 0.5284
acc 0.5957, nmi 0.3117, ari 0.3053, f1 0.5698
acc 0.5651, nmi 0.2907, ari 0.2818, f1 0.5245
acc 0.5726, nmi 0.2939, ari 0.2901, f1 0.5303
acc 0.5639, nmi 0.2900, ari 0.2807, f1 0.5234
acc 0.5978, nmi 0.3121, ari 0.3078, f1 0.5717
acc 0.5723, nmi 0.2959, ari 0.2913, f1 0.5296
acc 0.5777, nmi 0.2998, ari 0.2971, f1 0.5357
acc 0.5723, nmi 0.2948, ari 0.2905, f1 0.5306
