acc 0.8347, nmi 0.7424, ari 0.6907, f1 0.8336
acc 0.8410, nmi 0.7503, ari 0.6969, f1 0.8415
acc 0.8394, nmi 0.7408, ari 0.6901, f1 0.8402
acc 0.7594, nmi 0.7242, ari 0.6450, f1 0.7369
acc 0.7588, nmi 0.7225, ari 0.6423, f1 0.7353
acc 0.7577, nmi 0.7228, ari 0.6413, f1 0.7324
acc 0.7567, nmi 0.7171, ari 0.6369, f1 0.7329
acc 0.7539, nmi 0.7069, ari 0.6275, f1 0.7314
acc 0.7492, nmi 0.7104, ari 0.6265, f1 0.7217
acc 0.7465, nmi 0.7144, ari 0.6275, f1 0.7176
acc 0.7479, nmi 0.7186, ari 0.6314, f1 0.7182
acc 0.8169, nmi 0.7017, ari 0.6459, f1 0.8184
acc 0.8158, nmi 0.7006, ari 0.6439, f1 0.8174
acc 0.8145, nmi 0.7011, ari 0.6428, f1 0.8165
acc 0.8135, nmi 0.7001, ari 0.6407, f1 0.8156
acc 0.8146, nmi 0.7009, ari 0.6422, f1 0.8165
acc 0.8158, nmi 0.7022, ari 0.6442, f1 0.8177
acc 0.8168, nmi 0.7030, ari 0.6455, f1 0.8187
acc 0.8185, nmi 0.7051, ari 0.6483, f1 0.8205
acc 0.8209, nmi 0.7080, ari 0.6524, f1 0.8226
acc 0.8217, nmi 0.7091, ari 0.6540, f1 0.8235
acc 0.8226, nmi 0.7106, ari 0.6556, f1 0.8241
acc 0.8229, nmi 0.7115, ari 0.6566, f1 0.8242
acc 0.8242, nmi 0.7137, ari 0.6594, f1 0.8254
acc 0.8255, nmi 0.7161, ari 0.6618, f1 0.8267
acc 0.8295, nmi 0.7220, ari 0.6689, f1 0.8307
acc 0.8312, nmi 0.7242, ari 0.6716, f1 0.8322
acc 0.8330, nmi 0.7273, ari 0.6752, f1 0.8340
acc 0.8333, nmi 0.7276, ari 0.6757, f1 0.8342
acc 0.8336, nmi 0.7289, ari 0.6767, f1 0.8347
acc 0.8342, nmi 0.7290, ari 0.6778, f1 0.8351
acc 0.8363, nmi 0.7324, ari 0.6817, f1 0.8371
acc 0.8378, nmi 0.7331, ari 0.6834, f1 0.8383
acc 0.8368, nmi 0.7321, ari 0.6820, f1 0.8374
acc 0.8391, nmi 0.7335, ari 0.6849, f1 0.8395
acc 0.8443, nmi 0.7381, ari 0.6923, f1 0.8446
acc 0.8448, nmi 0.7385, ari 0.6932, f1 0.8452
acc 0.8460, nmi 0.7392, ari 0.6949, f1 0.8465
acc 0.8473, nmi 0.7405, ari 0.6969, f1 0.8476
acc 0.8477, nmi 0.7408, ari 0.6974, f1 0.8481
acc 0.8479, nmi 0.7418, ari 0.6984, f1 0.8484
acc 0.8484, nmi 0.7436, ari 0.6993, f1 0.8491
acc 0.8499, nmi 0.7454, ari 0.7014, f1 0.8507
acc 0.8505, nmi 0.7466, ari 0.7023, f1 0.8513
acc 0.8541, nmi 0.7497, ari 0.7079, f1 0.8544
acc 0.8557, nmi 0.7525, ari 0.7111, f1 0.8558
acc 0.8577, nmi 0.7555, ari 0.7148, f1 0.8575
acc 0.8580, nmi 0.7566, ari 0.7158, f1 0.8577
acc 0.8575, nmi 0.7659, ari 0.7213, f1 0.8543
acc 0.8553, nmi 0.7658, ari 0.7190, f1 0.8518
acc 0.8533, nmi 0.7663, ari 0.7175, f1 0.8491
acc 0.8514, nmi 0.7686, ari 0.7169, f1 0.8464
acc 0.8504, nmi 0.7692, ari 0.7164, f1 0.8450
acc 0.8470, nmi 0.7693, ari 0.7131, f1 0.8409
acc 0.8468, nmi 0.7717, ari 0.7142, f1 0.8404
acc 0.8445, nmi 0.7716, ari 0.7124, f1 0.8377
acc 0.8438, nmi 0.7727, ari 0.7124, f1 0.8366
acc 0.8411, nmi 0.7711, ari 0.7096, f1 0.8332
acc 0.8392, nmi 0.7663, ari 0.7068, f1 0.8323
acc 0.8371, nmi 0.7649, ari 0.7045, f1 0.8298
acc 0.8343, nmi 0.7604, ari 0.7007, f1 0.8274
acc 0.8314, nmi 0.7527, ari 0.6943, f1 0.8277
acc 0.8304, nmi 0.7523, ari 0.6936, f1 0.8268
acc 0.8302, nmi 0.7533, ari 0.6941, f1 0.8259
acc 0.8287, nmi 0.7550, ari 0.6948, f1 0.8241
acc 0.8293, nmi 0.7563, ari 0.6960, f1 0.8248
acc 0.8299, nmi 0.7618, ari 0.7001, f1 0.8228
acc 0.8297, nmi 0.7607, ari 0.6997, f1 0.8233
acc 0.8288, nmi 0.7604, ari 0.6989, f1 0.8230
acc 0.8286, nmi 0.7600, ari 0.6986, f1 0.8231
acc 0.8277, nmi 0.7596, ari 0.6980, f1 0.8222
acc 0.8246, nmi 0.7582, ari 0.6953, f1 0.8197
acc 0.8217, nmi 0.7592, ari 0.6948, f1 0.8158
acc 0.8211, nmi 0.7589, ari 0.6947, f1 0.8150
acc 0.8187, nmi 0.7573, ari 0.6924, f1 0.8135
acc 0.8172, nmi 0.7573, ari 0.6919, f1 0.8119
acc 0.8192, nmi 0.7605, ari 0.6951, f1 0.8139
acc 0.8202, nmi 0.7622, ari 0.6965, f1 0.8159
acc 0.8200, nmi 0.7639, ari 0.6972, f1 0.8159
acc 0.8195, nmi 0.7645, ari 0.6974, f1 0.8152
acc 0.8191, nmi 0.7649, ari 0.6974, f1 0.8156
acc 0.8180, nmi 0.7662, ari 0.6980, f1 0.8143
acc 0.8174, nmi 0.7663, ari 0.6977, f1 0.8135
acc 0.8163, nmi 0.7666, ari 0.6977, f1 0.8126
acc 0.8161, nmi 0.7672, ari 0.6978, f1 0.8125
acc 0.8171, nmi 0.7688, ari 0.6995, f1 0.8135
acc 0.8167, nmi 0.7700, ari 0.7003, f1 0.8131
acc 0.8166, nmi 0.7707, ari 0.7008, f1 0.8129
acc 0.8169, nmi 0.7717, ari 0.7016, f1 0.8134
acc 0.8163, nmi 0.7724, ari 0.7020, f1 0.8126
acc 0.8164, nmi 0.7728, ari 0.7024, f1 0.8127
acc 0.8158, nmi 0.7730, ari 0.7024, f1 0.8119
acc 0.8155, nmi 0.7736, ari 0.7029, f1 0.8115
acc 0.8155, nmi 0.7745, ari 0.7035, f1 0.8114
acc 0.8156, nmi 0.7753, ari 0.7043, f1 0.8117
acc 0.8150, nmi 0.7761, ari 0.7046, f1 0.8113
acc 0.8154, nmi 0.7774, ari 0.7055, f1 0.8114
acc 0.8145, nmi 0.7771, ari 0.7051, f1 0.8113
acc 0.8138, nmi 0.7773, ari 0.7050, f1 0.8103
acc 0.8142, nmi 0.7786, ari 0.7062, f1 0.8106
acc 0.8140, nmi 0.7794, ari 0.7069, f1 0.8108
acc 0.8145, nmi 0.7803, ari 0.7079, f1 0.8114
acc 0.8145, nmi 0.7816, ari 0.7090, f1 0.8116
acc 0.8142, nmi 0.7818, ari 0.7091, f1 0.8113
acc 0.8135, nmi 0.7830, ari 0.7099, f1 0.8104
acc 0.8123, nmi 0.7837, ari 0.7102, f1 0.8091
acc 0.8118, nmi 0.7845, ari 0.7108, f1 0.8082
acc 0.8107, nmi 0.7840, ari 0.7101, f1 0.8073
acc 0.8098, nmi 0.7850, ari 0.7109, f1 0.8058
acc 0.8102, nmi 0.7855, ari 0.7114, f1 0.8061
acc 0.8105, nmi 0.7857, ari 0.7117, f1 0.8067
acc 0.8099, nmi 0.7851, ari 0.7111, f1 0.8070
acc 0.8102, nmi 0.7856, ari 0.7117, f1 0.8073
acc 0.8098, nmi 0.7867, ari 0.7126, f1 0.8067
acc 0.7329, nmi 0.8075, ari 0.7040, f1 0.7116
acc 0.7334, nmi 0.8085, ari 0.7048, f1 0.7120
acc 0.7340, nmi 0.8088, ari 0.7052, f1 0.7124
acc 0.7345, nmi 0.8097, ari 0.7061, f1 0.7127
acc 0.7357, nmi 0.8107, ari 0.7071, f1 0.7137
acc 0.7357, nmi 0.8114, ari 0.7074, f1 0.7136
acc 0.7361, nmi 0.8113, ari 0.7077, f1 0.7139
acc 0.7364, nmi 0.8116, ari 0.7081, f1 0.7141
acc 0.7370, nmi 0.8116, ari 0.7084, f1 0.7145
acc 0.7380, nmi 0.8143, ari 0.7103, f1 0.7151
acc 0.7385, nmi 0.8146, ari 0.7107, f1 0.7154
acc 0.7374, nmi 0.8159, ari 0.7117, f1 0.7142
acc 0.7397, nmi 0.8171, ari 0.7127, f1 0.7161
acc 0.7403, nmi 0.8173, ari 0.7130, f1 0.7166
acc 0.7402, nmi 0.8181, ari 0.7137, f1 0.7161
acc 0.7392, nmi 0.8180, ari 0.7136, f1 0.7152
acc 0.7393, nmi 0.8204, ari 0.7149, f1 0.7151
acc 0.7407, nmi 0.8210, ari 0.7156, f1 0.7162
acc 0.7416, nmi 0.8208, ari 0.7159, f1 0.7169
acc 0.7390, nmi 0.8221, ari 0.7159, f1 0.7147
acc 0.7409, nmi 0.8228, ari 0.7167, f1 0.7164
acc 0.7390, nmi 0.8227, ari 0.7163, f1 0.7146
acc 0.7391, nmi 0.8248, ari 0.7175, f1 0.7144
acc 0.7429, nmi 0.8255, ari 0.7188, f1 0.7177
acc 0.7394, nmi 0.8259, ari 0.7182, f1 0.7147
acc 0.7426, nmi 0.8264, ari 0.7193, f1 0.7174
acc 0.7431, nmi 0.8277, ari 0.7199, f1 0.7178
acc 0.7428, nmi 0.8278, ari 0.7199, f1 0.7175
acc 0.7401, nmi 0.8278, ari 0.7194, f1 0.7152
acc 0.7412, nmi 0.8282, ari 0.7198, f1 0.7162
acc 0.7408, nmi 0.8282, ari 0.7197, f1 0.7158
acc 0.7397, nmi 0.8286, ari 0.7197, f1 0.7148
acc 0.7425, nmi 0.8294, ari 0.7206, f1 0.7173
acc 0.7394, nmi 0.8299, ari 0.7204, f1 0.7145
acc 0.7390, nmi 0.8302, ari 0.7205, f1 0.7142
acc 0.7400, nmi 0.8304, ari 0.7208, f1 0.7150
acc 0.7626, nmi 0.8428, ari 0.7375, f1 0.7305
acc 0.7608, nmi 0.8426, ari 0.7369, f1 0.7289
acc 0.7631, nmi 0.8433, ari 0.7380, f1 0.7308
acc 0.7611, nmi 0.8434, ari 0.7373, f1 0.7294
acc 0.7643, nmi 0.8439, ari 0.7387, f1 0.7319
acc 0.7600, nmi 0.8428, ari 0.7369, f1 0.7278
acc 0.7649, nmi 0.8446, ari 0.7393, f1 0.7319
acc 0.7580, nmi 0.8418, ari 0.7359, f1 0.7258
acc 0.8133, nmi 0.8077, ari 0.7325, f1 0.8069
acc 0.8131, nmi 0.8077, ari 0.7322, f1 0.8070
acc 0.8151, nmi 0.8076, ari 0.7325, f1 0.8084
acc 0.7496, nmi 0.8310, ari 0.7233, f1 0.7230
acc 0.7419, nmi 0.8285, ari 0.7203, f1 0.7165
acc 0.7426, nmi 0.8256, ari 0.7188, f1 0.7169
acc 0.7349, nmi 0.8207, ari 0.7149, f1 0.7095
acc 0.7281, nmi 0.8109, ari 0.7079, f1 0.6959
acc 0.7350, nmi 0.8086, ari 0.7056, f1 0.7008
acc 0.7337, nmi 0.8055, ari 0.7023, f1 0.6990
acc 0.7421, nmi 0.8079, ari 0.7050, f1 0.7058
acc 0.7250, nmi 0.7931, ari 0.6877, f1 0.7077
acc 0.7212, nmi 0.7925, ari 0.6856, f1 0.7050
acc 0.7293, nmi 0.8013, ari 0.6980, f1 0.6945
acc 0.7943, nmi 0.7874, ari 0.7097, f1 0.7864
acc 0.8014, nmi 0.7833, ari 0.7081, f1 0.7968
acc 0.8079, nmi 0.7845, ari 0.7106, f1 0.8037
acc 0.8142, nmi 0.7904, ari 0.7177, f1 0.8100
acc 0.8207, nmi 0.7920, ari 0.7203, f1 0.8180
acc 0.8251, nmi 0.7951, ari 0.7240, f1 0.8232
acc 0.8278, nmi 0.7977, ari 0.7266, f1 0.8253
acc 0.8249, nmi 0.7992, ari 0.7267, f1 0.8225
acc 0.8221, nmi 0.7995, ari 0.7260, f1 0.8198
acc 0.8166, nmi 0.7973, ari 0.7226, f1 0.8155
acc 0.8151, nmi 0.7972, ari 0.7221, f1 0.8141
acc 0.8126, nmi 0.7959, ari 0.7203, f1 0.8117
acc 0.8098, nmi 0.7943, ari 0.7181, f1 0.8087
acc 0.8083, nmi 0.7934, ari 0.7167, f1 0.8078
acc 0.8065, nmi 0.7917, ari 0.7147, f1 0.8062
acc 0.8065, nmi 0.7912, ari 0.7138, f1 0.8061
acc 0.8090, nmi 0.7924, ari 0.7153, f1 0.8084
acc 0.8125, nmi 0.7937, ari 0.7172, f1 0.8119
acc 0.8145, nmi 0.7948, ari 0.7188, f1 0.8133
acc 0.8185, nmi 0.7971, ari 0.7216, f1 0.8166
acc 0.8203, nmi 0.7974, ari 0.7224, f1 0.8183
acc 0.8237, nmi 0.7998, ari 0.7254, f1 0.8202
acc 0.8263, nmi 0.8025, ari 0.7284, f1 0.8215
acc 0.8295, nmi 0.8039, ari 0.7303, f1 0.8245
acc 0.8322, nmi 0.8092, ari 0.7352, f1 0.8242
acc 0.8332, nmi 0.8094, ari 0.7356, f1 0.8253
acc 0.8336, nmi 0.8089, ari 0.7355, f1 0.8260
acc 0.8346, nmi 0.8079, ari 0.7354, f1 0.8285
