acc 0.8347, nmi 0.7424, ari 0.6907, f1 0.8336
acc 0.8385, nmi 0.7462, ari 0.6923, f1 0.8395
acc 0.8367, nmi 0.7386, ari 0.6858, f1 0.8371
acc 0.8333, nmi 0.7332, ari 0.6800, f1 0.8334
acc 0.8286, nmi 0.7270, ari 0.6728, f1 0.8284
acc 0.8279, nmi 0.7260, ari 0.6718, f1 0.8277
acc 0.8232, nmi 0.7185, ari 0.6640, f1 0.8230
acc 0.8150, nmi 0.7043, ari 0.6480, f1 0.8158
acc 0.6399, nmi 0.6650, ari 0.5755, f1 0.6185
acc 0.7915, nmi 0.6693, ari 0.6054, f1 0.7941
acc 0.7765, nmi 0.6460, ari 0.5796, f1 0.7800
acc 0.6597, nmi 0.5703, ari 0.4996, f1 0.6441
acc 0.6489, nmi 0.5403, ari 0.4799, f1 0.6337
acc 0.6318, nmi 0.5118, ari 0.4520, f1 0.6156
acc 0.6298, nmi 0.5051, ari 0.4450, f1 0.6141
acc 0.7207, nmi 0.5421, ari 0.4832, f1 0.7261
acc 0.7323, nmi 0.5572, ari 0.4990, f1 0.7371
acc 0.7342, nmi 0.5634, ari 0.5038, f1 0.7387
acc 0.7377, nmi 0.5716, ari 0.5113, f1 0.7416
acc 0.7385, nmi 0.5750, ari 0.5138, f1 0.7422
acc 0.7404, nmi 0.5779, ari 0.5163, f1 0.7441
acc 0.7444, nmi 0.5812, ari 0.5204, f1 0.7481
acc 0.7468, nmi 0.5803, ari 0.5225, f1 0.7499
acc 0.7457, nmi 0.5744, ari 0.5197, f1 0.7483
acc 0.6292, nmi 0.5058, ari 0.4121, f1 0.6266
acc 0.6218, nmi 0.4947, ari 0.3999, f1 0.6199
acc 0.6171, nmi 0.4858, ari 0.3916, f1 0.6151
acc 0.6136, nmi 0.4775, ari 0.3836, f1 0.6111
acc 0.6106, nmi 0.4721, ari 0.3769, f1 0.6082
acc 0.6083, nmi 0.4656, ari 0.3738, f1 0.6048
acc 0.6046, nmi 0.4604, ari 0.3712, f1 0.5986
acc 0.5990, nmi 0.4534, ari 0.3645, f1 0.5924
acc 0.4957, nmi 0.4361, ari 0.3645, f1 0.4688
acc 0.4990, nmi 0.4355, ari 0.3660, f1 0.4718
acc 0.4969, nmi 0.4268, ari 0.3609, f1 0.4690
acc 0.4943, nmi 0.4243, ari 0.3584, f1 0.4663
acc 0.4861, nmi 0.4214, ari 0.3547, f1 0.4586
acc 0.4886, nmi 0.4189, ari 0.3535, f1 0.4604
acc 0.4874, nmi 0.4163, ari 0.3514, f1 0.4592
acc 0.4888, nmi 0.4129, ari 0.3500, f1 0.4596
acc 0.4880, nmi 0.4104, ari 0.3483, f1 0.4588
acc 0.4866, nmi 0.4096, ari 0.3467, f1 0.4574
acc 0.4860, nmi 0.4087, ari 0.3464, f1 0.4558
acc 0.4859, nmi 0.4061, ari 0.3443, f1 0.4556
acc 0.4849, nmi 0.4043, ari 0.3427, f1 0.4543
acc 0.4847, nmi 0.4042, ari 0.3427, f1 0.4541
acc 0.4844, nmi 0.4034, ari 0.3421, f1 0.4537
acc 0.4846, nmi 0.4029, ari 0.3415, f1 0.4539
acc 0.4852, nmi 0.4023, ari 0.3410, f1 0.4546
acc 0.4846, nmi 0.4040, ari 0.3421, f1 0.4543
acc 0.4869, nmi 0.4040, ari 0.3427, f1 0.4565
acc 0.4875, nmi 0.4043, ari 0.3429, f1 0.4570
acc 0.4900, nmi 0.4069, ari 0.3446, f1 0.4602
acc 0.4906, nmi 0.4067, ari 0.3442, f1 0.4606
acc 0.4915, nmi 0.4057, ari 0.3434, f1 0.4617
acc 0.4922, nmi 0.4069, ari 0.3442, f1 0.4625
acc 0.4899, nmi 0.4044, ari 0.3422, f1 0.4597
acc 0.4892, nmi 0.4045, ari 0.3422, f1 0.4587
acc 0.4888, nmi 0.4032, ari 0.3409, f1 0.4581
acc 0.4884, nmi 0.4051, ari 0.3419, f1 0.4580
acc 0.4880, nmi 0.4051, ari 0.3419, f1 0.4577
acc 0.4822, nmi 0.4056, ari 0.3413, f1 0.4413
acc 0.4863, nmi 0.4083, ari 0.3433, f1 0.4560
acc 0.4823, nmi 0.4060, ari 0.3414, f1 0.4414
acc 0.4852, nmi 0.4069, ari 0.3436, f1 0.4444
acc 0.4860, nmi 0.4070, ari 0.3442, f1 0.4450
acc 0.4832, nmi 0.4079, ari 0.3431, f1 0.4423
acc 0.4850, nmi 0.4083, ari 0.3439, f1 0.4443
acc 0.4858, nmi 0.4075, ari 0.3440, f1 0.4448
acc 0.4893, nmi 0.4092, ari 0.3448, f1 0.4591
acc 0.4881, nmi 0.4085, ari 0.3448, f1 0.4577
acc 0.4855, nmi 0.4047, ari 0.3408, f1 0.4457
acc 0.4828, nmi 0.4012, ari 0.3372, f1 0.4431
acc 0.4824, nmi 0.4015, ari 0.3373, f1 0.4428
acc 0.4830, nmi 0.4013, ari 0.3371, f1 0.4433
acc 0.4828, nmi 0.3998, ari 0.3363, f1 0.4430
acc 0.4843, nmi 0.4023, ari 0.3387, f1 0.4447
acc 0.4832, nmi 0.4014, ari 0.3376, f1 0.4437
acc 0.4829, nmi 0.4019, ari 0.3379, f1 0.4434
acc 0.4833, nmi 0.4021, ari 0.3381, f1 0.4438
acc 0.4826, nmi 0.4015, ari 0.3375, f1 0.4431
acc 0.4830, nmi 0.4008, ari 0.3374, f1 0.4434
acc 0.4831, nmi 0.4029, ari 0.3385, f1 0.4435
acc 0.4837, nmi 0.4016, ari 0.3384, f1 0.4441
acc 0.4830, nmi 0.4029, ari 0.3383, f1 0.4434
acc 0.4843, nmi 0.4038, ari 0.3397, f1 0.4447
acc 0.4844, nmi 0.4038, ari 0.3398, f1 0.4448
acc 0.4849, nmi 0.4050, ari 0.3407, f1 0.4454
acc 0.4848, nmi 0.4053, ari 0.3411, f1 0.4454
acc 0.4847, nmi 0.4051, ari 0.3406, f1 0.4453
acc 0.4785, nmi 0.3991, ari 0.3343, f1 0.4388
acc 0.4799, nmi 0.4015, ari 0.3365, f1 0.4400
acc 0.4791, nmi 0.3997, ari 0.3349, f1 0.4393
acc 0.4805, nmi 0.4022, ari 0.3371, f1 0.4408
acc 0.4789, nmi 0.4000, ari 0.3351, f1 0.4394
acc 0.4791, nmi 0.4005, ari 0.3355, f1 0.4395
acc 0.4809, nmi 0.4062, ari 0.3399, f1 0.4414
acc 0.4798, nmi 0.4019, ari 0.3364, f1 0.4402
acc 0.4799, nmi 0.4029, ari 0.3373, f1 0.4404
acc 0.4805, nmi 0.4042, ari 0.3384, f1 0.4409
acc 0.4797, nmi 0.4053, ari 0.3386, f1 0.4402
acc 0.4799, nmi 0.4062, ari 0.3394, f1 0.4406
acc 0.4796, nmi 0.4061, ari 0.3391, f1 0.4402
acc 0.4754, nmi 0.4080, ari 0.3386, f1 0.4357
acc 0.4763, nmi 0.4093, ari 0.3401, f1 0.4367
acc 0.4755, nmi 0.4088, ari 0.3397, f1 0.4360
acc 0.4750, nmi 0.4074, ari 0.3384, f1 0.4354
acc 0.4761, nmi 0.4084, ari 0.3391, f1 0.4365
acc 0.4761, nmi 0.4091, ari 0.3397, f1 0.4364
acc 0.4799, nmi 0.4081, ari 0.3405, f1 0.4405
acc 0.4751, nmi 0.4097, ari 0.3399, f1 0.4355
acc 0.4763, nmi 0.4120, ari 0.3417, f1 0.4368
acc 0.4776, nmi 0.4125, ari 0.3423, f1 0.4376
acc 0.4767, nmi 0.4133, ari 0.3429, f1 0.4372
acc 0.4777, nmi 0.4104, ari 0.3411, f1 0.4380
acc 0.4766, nmi 0.4099, ari 0.3400, f1 0.4368
acc 0.4780, nmi 0.4149, ari 0.3445, f1 0.4384
acc 0.4773, nmi 0.4111, ari 0.3413, f1 0.4377
acc 0.4781, nmi 0.4161, ari 0.3455, f1 0.4384
acc 0.4784, nmi 0.4137, ari 0.3436, f1 0.4387
acc 0.4779, nmi 0.4153, ari 0.3449, f1 0.4381
acc 0.4780, nmi 0.4169, ari 0.3460, f1 0.4383
acc 0.4768, nmi 0.4151, ari 0.3442, f1 0.4372
acc 0.4794, nmi 0.4161, ari 0.3453, f1 0.4396
acc 0.4798, nmi 0.4165, ari 0.3455, f1 0.4401
acc 0.4781, nmi 0.4173, ari 0.3464, f1 0.4383
acc 0.4780, nmi 0.4175, ari 0.3465, f1 0.4383
acc 0.4781, nmi 0.4192, ari 0.3473, f1 0.4386
acc 0.4784, nmi 0.4192, ari 0.3476, f1 0.4387
acc 0.4786, nmi 0.4201, ari 0.3481, f1 0.4391
acc 0.4787, nmi 0.4198, ari 0.3480, f1 0.4391
acc 0.4800, nmi 0.4215, ari 0.3495, f1 0.4405
acc 0.4787, nmi 0.4191, ari 0.3471, f1 0.4393
acc 0.4810, nmi 0.4225, ari 0.3500, f1 0.4416
acc 0.4790, nmi 0.4224, ari 0.3491, f1 0.4396
acc 0.4815, nmi 0.4233, ari 0.3504, f1 0.4422
acc 0.4807, nmi 0.4231, ari 0.3500, f1 0.4413
acc 0.4814, nmi 0.4238, ari 0.3507, f1 0.4421
acc 0.4824, nmi 0.4263, ari 0.3529, f1 0.4432
