acc 0.7194, nmi 0.7029, ari 0.6045, f1 0.7051
acc 0.7201, nmi 0.7033, ari 0.6043, f1 0.7061
acc 0.7213, nmi 0.7029, ari 0.6041, f1 0.7076
acc 0.7187, nmi 0.7030, ari 0.6044, f1 0.7043
acc 0.7182, nmi 0.7033, ari 0.6041, f1 0.7040
acc 0.7206, nmi 0.7029, ari 0.6041, f1 0.7065
acc 0.7191, nmi 0.7032, ari 0.6049, f1 0.7043
acc 0.7204, nmi 0.7023, ari 0.6049, f1 0.7052
acc 0.7206, nmi 0.7007, ari 0.6040, f1 0.7050
acc 0.7199, nmi 0.7024, ari 0.6052, f1 0.7044
acc 0.7178, nmi 0.7030, ari 0.6048, f1 0.7025
acc 0.7205, nmi 0.7014, ari 0.6043, f1 0.7050
acc 0.7193, nmi 0.7027, ari 0.6056, f1 0.7035
acc 0.7185, nmi 0.7028, ari 0.6056, f1 0.7025
acc 0.7194, nmi 0.7019, ari 0.6054, f1 0.7031
acc 0.7185, nmi 0.7024, ari 0.6057, f1 0.7020
acc 0.7200, nmi 0.7032, ari 0.6073, f1 0.7030
acc 0.7207, nmi 0.7025, ari 0.6069, f1 0.7036
acc 0.7199, nmi 0.7030, ari 0.6075, f1 0.7025
acc 0.7195, nmi 0.7031, ari 0.6076, f1 0.7019
acc 0.7230, nmi 0.7024, ari 0.6083, f1 0.7054
acc 0.7219, nmi 0.7034, ari 0.6091, f1 0.7037
acc 0.7213, nmi 0.7027, ari 0.6085, f1 0.7030
acc 0.7209, nmi 0.7025, ari 0.6082, f1 0.7025
acc 0.7196, nmi 0.7032, ari 0.6088, f1 0.7008
acc 0.7205, nmi 0.7033, ari 0.6093, f1 0.7014
acc 0.7206, nmi 0.7034, ari 0.6093, f1 0.7018
acc 0.7192, nmi 0.7034, ari 0.6090, f1 0.7000
acc 0.7198, nmi 0.7036, ari 0.6097, f1 0.7003
acc 0.7195, nmi 0.7037, ari 0.6096, f1 0.7001
acc 0.7234, nmi 0.7009, ari 0.6082, f1 0.7042
acc 0.7231, nmi 0.7007, ari 0.6079, f1 0.7040
acc 0.7215, nmi 0.7011, ari 0.6083, f1 0.7019
acc 0.7223, nmi 0.7008, ari 0.6079, f1 0.7029
acc 0.7211, nmi 0.7011, ari 0.6085, f1 0.7011
