acc 0.8347, nmi 0.7424, ari 0.6907, f1 0.8336
acc 0.7658, nmi 0.7518, ari 0.6681, f1 0.7404
acc 0.7609, nmi 0.7573, ari 0.6702, f1 0.7307
acc 0.7522, nmi 0.7544, ari 0.6618, f1 0.7195
acc 0.8466, nmi 0.7549, ari 0.7059, f1 0.8463
acc 0.8504, nmi 0.7577, ari 0.7110, f1 0.8499
acc 0.8475, nmi 0.7529, ari 0.7057, f1 0.8468
acc 0.8390, nmi 0.7444, ari 0.6938, f1 0.8386
acc 0.8356, nmi 0.7407, ari 0.6885, f1 0.8353
acc 0.8344, nmi 0.7361, ari 0.6843, f1 0.8336
acc 0.8396, nmi 0.7393, ari 0.6911, f1 0.8374
acc 0.8375, nmi 0.7393, ari 0.6898, f1 0.8338
acc 0.8358, nmi 0.7403, ari 0.6893, f1 0.8319
acc 0.8338, nmi 0.7400, ari 0.6877, f1 0.8304
acc 0.8351, nmi 0.7434, ari 0.6910, f1 0.8320
acc 0.8354, nmi 0.7462, ari 0.6930, f1 0.8325
acc 0.8378, nmi 0.7505, ari 0.6975, f1 0.8352
acc 0.8497, nmi 0.7633, ari 0.7149, f1 0.8459
acc 0.8576, nmi 0.7750, ari 0.7277, f1 0.8527
acc 0.8579, nmi 0.7733, ari 0.7271, f1 0.8542
acc 0.8592, nmi 0.7726, ari 0.7275, f1 0.8568
acc 0.8581, nmi 0.7725, ari 0.7264, f1 0.8558
acc 0.8592, nmi 0.7735, ari 0.7280, f1 0.8571
acc 0.8553, nmi 0.7692, ari 0.7216, f1 0.8547
acc 0.8566, nmi 0.7711, ari 0.7236, f1 0.8559
acc 0.8566, nmi 0.7714, ari 0.7237, f1 0.8560
acc 0.8610, nmi 0.7770, ari 0.7312, f1 0.8594
acc 0.8626, nmi 0.7779, ari 0.7331, f1 0.8610
acc 0.8644, nmi 0.7920, ari 0.7415, f1 0.8595
acc 0.8649, nmi 0.7943, ari 0.7430, f1 0.8598
acc 0.8645, nmi 0.7981, ari 0.7440, f1 0.8585
acc 0.8630, nmi 0.7985, ari 0.7424, f1 0.8566
acc 0.8629, nmi 0.7993, ari 0.7427, f1 0.8564
acc 0.8636, nmi 0.8004, ari 0.7438, f1 0.8571
acc 0.8642, nmi 0.8010, ari 0.7448, f1 0.8578
acc 0.8644, nmi 0.8014, ari 0.7453, f1 0.8580
acc 0.8657, nmi 0.8020, ari 0.7469, f1 0.8597
acc 0.8683, nmi 0.7869, ari 0.7432, f1 0.8675
acc 0.8689, nmi 0.7877, ari 0.7442, f1 0.8682
acc 0.8676, nmi 0.7866, ari 0.7423, f1 0.8672
acc 0.8677, nmi 0.7874, ari 0.7429, f1 0.8674
acc 0.8666, nmi 0.7870, ari 0.7417, f1 0.8664
acc 0.8672, nmi 0.7883, ari 0.7429, f1 0.8670
acc 0.8683, nmi 0.7907, ari 0.7453, f1 0.8682
acc 0.8687, nmi 0.7915, ari 0.7460, f1 0.8686
acc 0.8690, nmi 0.7930, ari 0.7469, f1 0.8690
acc 0.8697, nmi 0.7941, ari 0.7481, f1 0.8699
acc 0.8699, nmi 0.7948, ari 0.7486, f1 0.8701
acc 0.8704, nmi 0.7959, ari 0.7496, f1 0.8706
acc 0.8713, nmi 0.7974, ari 0.7513, f1 0.8716
