acc 0.8251, nmi 0.5127, ari 0.5562, f1 0.8254
acc 0.8955, nmi 0.6601, ari 0.7164, f1 0.8957
acc 0.8995, nmi 0.6668, ari 0.7269, f1 0.8989
acc 0.9091, nmi 0.6867, ari 0.7488, f1 0.9091
acc 0.9018, nmi 0.6563, ari 0.7282, f1 0.9022
acc 0.8671, nmi 0.5721, ari 0.6422, f1 0.8667
acc 0.7729, nmi 0.4481, ari 0.4655, f1 0.7733
acc 0.7871, nmi 0.4744, ari 0.4927, f1 0.7879
acc 0.8612, nmi 0.5786, ari 0.6358, f1 0.8612
acc 0.8694, nmi 0.5943, ari 0.6543, f1 0.8692
acc 0.6628, nmi 0.4304, ari 0.3878, f1 0.6713
acc 0.6350, nmi 0.4357, ari 0.3890, f1 0.6426
acc 0.6688, nmi 0.4495, ari 0.4035, f1 0.6732
acc 0.6688, nmi 0.4468, ari 0.4035, f1 0.6734
acc 0.6856, nmi 0.4563, ari 0.4155, f1 0.6881
acc 0.7098, nmi 0.4632, ari 0.4313, f1 0.7120
acc 0.7124, nmi 0.4640, ari 0.4337, f1 0.7144
acc 0.7174, nmi 0.4698, ari 0.4401, f1 0.7191
acc 0.7269, nmi 0.4755, ari 0.4498, f1 0.7278
acc 0.7379, nmi 0.4817, ari 0.4616, f1 0.7374
acc 0.7395, nmi 0.4776, ari 0.4623, f1 0.7376
acc 0.7395, nmi 0.4776, ari 0.4628, f1 0.7372
acc 0.7392, nmi 0.4774, ari 0.4629, f1 0.7359
acc 0.7395, nmi 0.4815, ari 0.4662, f1 0.7353
acc 0.7345, nmi 0.4818, ari 0.4652, f1 0.7283
acc 0.7362, nmi 0.4837, ari 0.4687, f1 0.7282
acc 0.7395, nmi 0.4822, ari 0.4702, f1 0.7309
acc 0.7388, nmi 0.4771, ari 0.4682, f1 0.7284
acc 0.7369, nmi 0.4781, ari 0.4680, f1 0.7254
acc 0.7359, nmi 0.4763, ari 0.4670, f1 0.7227
acc 0.7435, nmi 0.4744, ari 0.4692, f1 0.7314
acc 0.7504, nmi 0.4802, ari 0.4760, f1 0.7383
acc 0.7412, nmi 0.4761, ari 0.4696, f1 0.7260
acc 0.7448, nmi 0.4759, ari 0.4711, f1 0.7303
acc 0.7501, nmi 0.4801, ari 0.4764, f1 0.7351
acc 0.7455, nmi 0.4779, ari 0.4724, f1 0.7291
acc 0.7405, nmi 0.4772, ari 0.4697, f1 0.7221
acc 0.7438, nmi 0.4791, ari 0.4722, f1 0.7257
acc 0.7517, nmi 0.4852, ari 0.4806, f1 0.7331
acc 0.7699, nmi 0.5011, ari 0.5007, f1 0.7531
acc 0.8364, nmi 0.5655, ari 0.5946, f1 0.8301
acc 0.8545, nmi 0.5951, ari 0.6298, f1 0.8491
acc 0.8645, nmi 0.6145, ari 0.6511, f1 0.8592
acc 0.8711, nmi 0.6292, ari 0.6656, f1 0.8660
acc 0.8747, nmi 0.6389, ari 0.6738, f1 0.8696
acc 0.8780, nmi 0.6458, ari 0.6813, f1 0.8732
acc 0.8826, nmi 0.6568, ari 0.6916, f1 0.8780
acc 0.8826, nmi 0.6568, ari 0.6914, f1 0.8780
acc 0.8833, nmi 0.6586, ari 0.6931, f1 0.8786
acc 0.8836, nmi 0.6591, ari 0.6938, f1 0.8790
