acc 0.8251, nmi 0.5127, ari 0.5562, f1 0.8254
acc 0.6912, nmi 0.3310, ari 0.3340, f1 0.6913
acc 0.8486, nmi 0.5370, ari 0.6016, f1 0.8490
acc 0.8565, nmi 0.5701, ari 0.6242, f1 0.8568
acc 0.8539, nmi 0.5644, ari 0.6172, f1 0.8545
acc 0.8529, nmi 0.5642, ari 0.6155, f1 0.8536
acc 0.8288, nmi 0.5226, ari 0.5622, f1 0.8294
acc 0.8433, nmi 0.5424, ari 0.5925, f1 0.8440
acc 0.8562, nmi 0.5643, ari 0.6218, f1 0.8566
acc 0.8641, nmi 0.5804, ari 0.6407, f1 0.8642
acc 0.8625, nmi 0.5787, ari 0.6365, f1 0.8628
acc 0.8598, nmi 0.5721, ari 0.6296, f1 0.8603
acc 0.8605, nmi 0.5725, ari 0.6309, f1 0.8609
acc 0.8602, nmi 0.5716, ari 0.6301, f1 0.8606
acc 0.8625, nmi 0.5759, ari 0.6354, f1 0.8629
acc 0.8635, nmi 0.5782, ari 0.6383, f1 0.8637
acc 0.8658, nmi 0.5824, ari 0.6436, f1 0.8660
acc 0.8711, nmi 0.5928, ari 0.6556, f1 0.8713
acc 0.8678, nmi 0.5865, ari 0.6475, f1 0.8681
acc 0.8688, nmi 0.5892, ari 0.6499, f1 0.8691
acc 0.8668, nmi 0.5843, ari 0.6452, f1 0.8672
acc 0.8681, nmi 0.5863, ari 0.6479, f1 0.8685
acc 0.8701, nmi 0.5897, ari 0.6526, f1 0.8704
acc 0.8698, nmi 0.5896, ari 0.6518, f1 0.8701
acc 0.8694, nmi 0.5888, ari 0.6509, f1 0.8698
acc 0.8691, nmi 0.5869, ari 0.6501, f1 0.8694
acc 0.8698, nmi 0.5885, ari 0.6515, f1 0.8702
acc 0.8694, nmi 0.5880, ari 0.6508, f1 0.8698
acc 0.8694, nmi 0.5872, ari 0.6509, f1 0.8697
acc 0.8698, nmi 0.5885, ari 0.6519, f1 0.8700
acc 0.8701, nmi 0.5894, ari 0.6525, f1 0.8704
acc 0.8698, nmi 0.5885, ari 0.6518, f1 0.8701
acc 0.8714, nmi 0.5921, ari 0.6556, f1 0.8718
acc 0.8714, nmi 0.5918, ari 0.6556, f1 0.8717
acc 0.8740, nmi 0.5981, ari 0.6623, f1 0.8743
acc 0.8724, nmi 0.5940, ari 0.6580, f1 0.8727
acc 0.8744, nmi 0.5987, ari 0.6629, f1 0.8747
acc 0.8721, nmi 0.5939, ari 0.6574, f1 0.8724
acc 0.8724, nmi 0.5947, ari 0.6581, f1 0.8727
acc 0.8740, nmi 0.5980, ari 0.6621, f1 0.8744
acc 0.8750, nmi 0.6016, ari 0.6648, f1 0.8753
acc 0.8754, nmi 0.6039, ari 0.6657, f1 0.8757
acc 0.8780, nmi 0.6084, ari 0.6715, f1 0.8784
acc 0.8783, nmi 0.6096, ari 0.6723, f1 0.8787
acc 0.8797, nmi 0.6122, ari 0.6757, f1 0.8800
acc 0.8803, nmi 0.6138, ari 0.6773, f1 0.8806
acc 0.8836, nmi 0.6207, ari 0.6854, f1 0.8839
acc 0.8840, nmi 0.6216, ari 0.6861, f1 0.8843
acc 0.8856, nmi 0.6250, ari 0.6901, f1 0.8859
acc 0.8856, nmi 0.6250, ari 0.6901, f1 0.8859
acc 0.8856, nmi 0.6250, ari 0.6901, f1 0.8859
acc 0.8863, nmi 0.6265, ari 0.6918, f1 0.8865
acc 0.8879, nmi 0.6306, ari 0.6959, f1 0.8881
acc 0.8876, nmi 0.6299, ari 0.6951, f1 0.8878
acc 0.8883, nmi 0.6314, ari 0.6967, f1 0.8885
acc 0.8889, nmi 0.6330, ari 0.6983, f1 0.8891
acc 0.8886, nmi 0.6323, ari 0.6975, f1 0.8888
acc 0.8902, nmi 0.6372, ari 0.7016, f1 0.8905
acc 0.8902, nmi 0.6372, ari 0.7016, f1 0.8905
acc 0.8909, nmi 0.6392, ari 0.7033, f1 0.8912
acc 0.8909, nmi 0.6392, ari 0.7033, f1 0.8912
acc 0.8916, nmi 0.6405, ari 0.7048, f1 0.8918
acc 0.8919, nmi 0.6413, ari 0.7056, f1 0.8922
acc 0.8916, nmi 0.6407, ari 0.7048, f1 0.8918
acc 0.8936, nmi 0.6459, ari 0.7099, f1 0.8938
acc 0.8939, nmi 0.6465, ari 0.7107, f1 0.8941
acc 0.8945, nmi 0.6495, ari 0.7126, f1 0.8948
acc 0.8952, nmi 0.6511, ari 0.7142, f1 0.8954
acc 0.8959, nmi 0.6530, ari 0.7159, f1 0.8961
acc 0.8959, nmi 0.6532, ari 0.7161, f1 0.8960
acc 0.8975, nmi 0.6570, ari 0.7202, f1 0.8976
