acc 0.8119, nmi 0.5586, ari 0.6140, f1 0.7605
acc 0.7564, nmi 0.4889, ari 0.5191, f1 0.7119
acc 0.7459, nmi 0.4599, ari 0.5040, f1 0.6992
acc 0.5895, nmi 0.2587, ari 0.2467, f1 0.5014
acc 0.4765, nmi 0.1248, ari 0.1474, f1 0.3965
acc 0.4579, nmi 0.1039, ari 0.1270, f1 0.3798
acc 0.4588, nmi 0.0997, ari 0.1261, f1 0.3833
acc 0.4885, nmi 0.1032, ari 0.1174, f1 0.4183
acc 0.5050, nmi 0.1107, ari 0.1383, f1 0.4281
acc 0.5096, nmi 0.1372, ari 0.1464, f1 0.4514
acc 0.5466, nmi 0.1719, ari 0.1977, f1 0.4778
acc 0.5824, nmi 0.2237, ari 0.2578, f1 0.5080
acc 0.6032, nmi 0.2631, ari 0.2883, f1 0.5295
acc 0.5746, nmi 0.2735, ari 0.2882, f1 0.4720
acc 0.5746, nmi 0.2819, ari 0.2795, f1 0.4732
acc 0.5673, nmi 0.2732, ari 0.2551, f1 0.4688
acc 0.6668, nmi 0.3211, ari 0.3559, f1 0.5611
acc 0.6824, nmi 0.3446, ari 0.3812, f1 0.5730
acc 0.7024, nmi 0.3801, ari 0.4124, f1 0.5984
acc 0.7081, nmi 0.3889, ari 0.4209, f1 0.6035
acc 0.7129, nmi 0.3975, ari 0.4258, f1 0.6092
acc 0.7194, nmi 0.4088, ari 0.4360, f1 0.6155
acc 0.7229, nmi 0.4149, ari 0.4420, f1 0.6188
acc 0.6950, nmi 0.4270, ari 0.4111, f1 0.6510
acc 0.6604, nmi 0.3723, ari 0.3062, f1 0.6004
acc 0.6581, nmi 0.3719, ari 0.3022, f1 0.6045
acc 0.6633, nmi 0.3775, ari 0.3116, f1 0.6097
acc 0.6786, nmi 0.3951, ari 0.3425, f1 0.6273
acc 0.6787, nmi 0.3948, ari 0.3419, f1 0.6266
acc 0.6829, nmi 0.3996, ari 0.3514, f1 0.6313
acc 0.6901, nmi 0.4056, ari 0.3635, f1 0.6400
acc 0.6888, nmi 0.4051, ari 0.3590, f1 0.6386
acc 0.6864, nmi 0.4011, ari 0.3560, f1 0.6335
acc 0.6871, nmi 0.4015, ari 0.3558, f1 0.6342
acc 0.6896, nmi 0.4035, ari 0.3605, f1 0.6370
acc 0.6886, nmi 0.4023, ari 0.3566, f1 0.6366
acc 0.6919, nmi 0.4048, ari 0.3610, f1 0.6403
acc 0.6929, nmi 0.4066, ari 0.3632, f1 0.6410
acc 0.6915, nmi 0.4053, ari 0.3602, f1 0.6401
acc 0.6956, nmi 0.4105, ari 0.3679, f1 0.6454
acc 0.6982, nmi 0.4133, ari 0.3727, f1 0.6482
acc 0.7005, nmi 0.4162, ari 0.3781, f1 0.6502
acc 0.7028, nmi 0.4179, ari 0.3827, f1 0.6519
acc 0.7063, nmi 0.4199, ari 0.3900, f1 0.6545
acc 0.7128, nmi 0.4275, ari 0.4042, f1 0.6608
acc 0.7175, nmi 0.4317, ari 0.4130, f1 0.6648
acc 0.7202, nmi 0.4341, ari 0.4200, f1 0.6665
acc 0.7206, nmi 0.4343, ari 0.4210, f1 0.6667
acc 0.7254, nmi 0.4377, ari 0.4317, f1 0.6705
acc 0.7288, nmi 0.4415, ari 0.4394, f1 0.6747
acc 0.7364, nmi 0.4499, ari 0.4568, f1 0.6804
acc 0.7424, nmi 0.4561, ari 0.4697, f1 0.6859
acc 0.7469, nmi 0.4610, ari 0.4800, f1 0.6893
acc 0.7537, nmi 0.4687, ari 0.4956, f1 0.6961
acc 0.7669, nmi 0.4836, ari 0.5242, f1 0.7094
acc 0.7920, nmi 0.5178, ari 0.5779, f1 0.7376
acc 0.8000, nmi 0.5298, ari 0.5971, f1 0.7447
acc 0.8121, nmi 0.5511, ari 0.6224, f1 0.7574
acc 0.8173, nmi 0.5608, ari 0.6333, f1 0.7627
acc 0.8190, nmi 0.5649, ari 0.6373, f1 0.7642
acc 0.8226, nmi 0.5707, ari 0.6430, f1 0.7680
acc 0.8245, nmi 0.5741, ari 0.6462, f1 0.7695
acc 0.8247, nmi 0.5744, ari 0.6458, f1 0.7689
acc 0.8256, nmi 0.5760, ari 0.6477, f1 0.7680
acc 0.8256, nmi 0.5765, ari 0.6480, f1 0.7665
acc 0.8253, nmi 0.5747, ari 0.6458, f1 0.7639
acc 0.8248, nmi 0.5726, ari 0.6429, f1 0.7620
acc 0.8226, nmi 0.5681, ari 0.6370, f1 0.7575
acc 0.8187, nmi 0.5620, ari 0.6266, f1 0.7504
acc 0.8127, nmi 0.5540, ari 0.6098, f1 0.7415
acc 0.8054, nmi 0.5469, ari 0.5892, f1 0.7314
acc 0.7980, nmi 0.5364, ari 0.5689, f1 0.7204
acc 0.7867, nmi 0.5254, ari 0.5417, f1 0.7061
acc 0.7672, nmi 0.5071, ari 0.4994, f1 0.6832
acc 0.7595, nmi 0.5029, ari 0.4837, f1 0.6735
acc 0.7508, nmi 0.4964, ari 0.4680, f1 0.6631
acc 0.7479, nmi 0.4929, ari 0.4624, f1 0.6609
acc 0.7452, nmi 0.4920, ari 0.4575, f1 0.6569
acc 0.7411, nmi 0.4880, ari 0.4481, f1 0.6520
acc 0.7380, nmi 0.4818, ari 0.4407, f1 0.6498
acc 0.7358, nmi 0.4783, ari 0.4334, f1 0.6485
acc 0.7315, nmi 0.4704, ari 0.4252, f1 0.6452
acc 0.7281, nmi 0.4630, ari 0.4131, f1 0.6429
acc 0.7230, nmi 0.4527, ari 0.4000, f1 0.6392
acc 0.7211, nmi 0.4485, ari 0.3964, f1 0.6376
acc 0.7200, nmi 0.4460, ari 0.3963, f1 0.6363
acc 0.7203, nmi 0.4452, ari 0.3987, f1 0.6365
acc 0.7209, nmi 0.4449, ari 0.3991, f1 0.6383
acc 0.7160, nmi 0.4356, ari 0.3871, f1 0.6349
acc 0.7104, nmi 0.4255, ari 0.3723, f1 0.6304
acc 0.7106, nmi 0.4253, ari 0.3712, f1 0.6306
acc 0.7086, nmi 0.4198, ari 0.3656, f1 0.6293
acc 0.7077, nmi 0.4163, ari 0.3621, f1 0.6293
acc 0.7070, nmi 0.4137, ari 0.3581, f1 0.6301
acc 0.7060, nmi 0.4105, ari 0.3550, f1 0.6298
acc 0.7040, nmi 0.4064, ari 0.3504, f1 0.6282
acc 0.7023, nmi 0.4032, ari 0.3454, f1 0.6273
acc 0.7003, nmi 0.3993, ari 0.3404, f1 0.6257
acc 0.6967, nmi 0.3933, ari 0.3328, f1 0.6226
acc 0.6943, nmi 0.3901, ari 0.3275, f1 0.6205
acc 0.6929, nmi 0.3877, ari 0.3246, f1 0.6194
acc 0.6921, nmi 0.3861, ari 0.3226, f1 0.6189
acc 0.6921, nmi 0.3854, ari 0.3225, f1 0.6191
acc 0.6928, nmi 0.3870, ari 0.3241, f1 0.6197
acc 0.6928, nmi 0.3870, ari 0.3241, f1 0.6198
acc 0.6922, nmi 0.3852, ari 0.3231, f1 0.6194
acc 0.6908, nmi 0.3828, ari 0.3217, f1 0.6177
acc 0.6908, nmi 0.3828, ari 0.3230, f1 0.6177
acc 0.6905, nmi 0.3812, ari 0.3217, f1 0.6174
acc 0.6893, nmi 0.3797, ari 0.3212, f1 0.6165
acc 0.6886, nmi 0.3789, ari 0.3202, f1 0.6157
acc 0.6872, nmi 0.3770, ari 0.3176, f1 0.6139
acc 0.6859, nmi 0.3731, ari 0.3153, f1 0.6138
acc 0.6869, nmi 0.3733, ari 0.3183, f1 0.6153
acc 0.6879, nmi 0.3742, ari 0.3201, f1 0.6160
acc 0.6863, nmi 0.3726, ari 0.3174, f1 0.6143
acc 0.6870, nmi 0.3730, ari 0.3191, f1 0.6154
acc 0.6868, nmi 0.3721, ari 0.3194, f1 0.6154
acc 0.6885, nmi 0.3738, ari 0.3228, f1 0.6175
acc 0.6874, nmi 0.3723, ari 0.3216, f1 0.6163
acc 0.6874, nmi 0.3736, ari 0.3225, f1 0.6161
acc 0.6881, nmi 0.3747, ari 0.3246, f1 0.6173
acc 0.6886, nmi 0.3737, ari 0.3249, f1 0.6184
acc 0.6895, nmi 0.3761, ari 0.3268, f1 0.6191
acc 0.6903, nmi 0.3776, ari 0.3301, f1 0.6207
acc 0.6916, nmi 0.3786, ari 0.3314, f1 0.6221
acc 0.6923, nmi 0.3794, ari 0.3346, f1 0.6229
acc 0.6932, nmi 0.3817, ari 0.3370, f1 0.6238
acc 0.6935, nmi 0.3815, ari 0.3378, f1 0.6243
acc 0.6941, nmi 0.3822, ari 0.3392, f1 0.6248
acc 0.6956, nmi 0.3831, ari 0.3428, f1 0.6269
acc 0.6948, nmi 0.3827, ari 0.3419, f1 0.6261
acc 0.6974, nmi 0.3860, ari 0.3470, f1 0.6289
acc 0.6970, nmi 0.3857, ari 0.3467, f1 0.6284
acc 0.6998, nmi 0.3888, ari 0.3526, f1 0.6319
acc 0.7004, nmi 0.3895, ari 0.3541, f1 0.6328
acc 0.7002, nmi 0.3885, ari 0.3541, f1 0.6330
acc 0.7015, nmi 0.3900, ari 0.3580, f1 0.6342
acc 0.7004, nmi 0.3872, ari 0.3557, f1 0.6340
acc 0.7016, nmi 0.3873, ari 0.3603, f1 0.6355
acc 0.7019, nmi 0.3867, ari 0.3628, f1 0.6364
acc 0.7015, nmi 0.3869, ari 0.3604, f1 0.6359
acc 0.7015, nmi 0.3850, ari 0.3628, f1 0.6368
acc 0.7046, nmi 0.3898, ari 0.3689, f1 0.6394
acc 0.7044, nmi 0.3893, ari 0.3699, f1 0.6398
acc 0.7052, nmi 0.3895, ari 0.3710, f1 0.6410
acc 0.7091, nmi 0.3954, ari 0.3770, f1 0.6438
acc 0.7073, nmi 0.3925, ari 0.3774, f1 0.6428
acc 0.7099, nmi 0.3974, ari 0.3825, f1 0.6452
acc 0.7106, nmi 0.3973, ari 0.3824, f1 0.6460
acc 0.7094, nmi 0.3961, ari 0.3808, f1 0.6449
acc 0.7120, nmi 0.3989, ari 0.3874, f1 0.6477
acc 0.7120, nmi 0.4002, ari 0.3883, f1 0.6476
acc 0.7177, nmi 0.4066, ari 0.4031, f1 0.6544
acc 0.7194, nmi 0.4094, ari 0.4123, f1 0.6552
acc 0.7186, nmi 0.4044, ari 0.4112, f1 0.6545
acc 0.7168, nmi 0.3961, ari 0.4095, f1 0.6557
acc 0.7024, nmi 0.3836, ari 0.3790, f1 0.6391
acc 0.7022, nmi 0.3861, ari 0.3796, f1 0.6384
acc 0.7045, nmi 0.3881, ari 0.3887, f1 0.6420
acc 0.7048, nmi 0.3865, ari 0.3896, f1 0.6436
acc 0.7054, nmi 0.3896, ari 0.3926, f1 0.6465
acc 0.7110, nmi 0.3961, ari 0.4059, f1 0.6541
acc 0.7187, nmi 0.4072, ari 0.4228, f1 0.6610
acc 0.7223, nmi 0.4113, ari 0.4309, f1 0.6647
acc 0.7246, nmi 0.4137, ari 0.4366, f1 0.6668
acc 0.7306, nmi 0.4214, ari 0.4468, f1 0.6710
acc 0.7320, nmi 0.4240, ari 0.4501, f1 0.6717
acc 0.7314, nmi 0.4235, ari 0.4494, f1 0.6713
acc 0.7320, nmi 0.4236, ari 0.4513, f1 0.6717
acc 0.7322, nmi 0.4218, ari 0.4516, f1 0.6722
acc 0.7320, nmi 0.4202, ari 0.4526, f1 0.6728
acc 0.7323, nmi 0.4183, ari 0.4559, f1 0.6742
acc 0.7325, nmi 0.4183, ari 0.4579, f1 0.6750
acc 0.7319, nmi 0.4164, ari 0.4593, f1 0.6749
acc 0.7294, nmi 0.4116, ari 0.4547, f1 0.6740
acc 0.7236, nmi 0.4027, ari 0.4462, f1 0.6693
acc 0.7208, nmi 0.4014, ari 0.4425, f1 0.6671
acc 0.7204, nmi 0.4010, ari 0.4403, f1 0.6673
acc 0.7193, nmi 0.3988, ari 0.4368, f1 0.6667
acc 0.7205, nmi 0.3986, ari 0.4366, f1 0.6684
acc 0.7208, nmi 0.3981, ari 0.4357, f1 0.6687
acc 0.7208, nmi 0.3979, ari 0.4350, f1 0.6683
acc 0.7211, nmi 0.3998, ari 0.4347, f1 0.6686
acc 0.7202, nmi 0.3990, ari 0.4329, f1 0.6677
acc 0.7207, nmi 0.3997, ari 0.4336, f1 0.6680
acc 0.7213, nmi 0.4013, ari 0.4329, f1 0.6686
acc 0.7219, nmi 0.4028, ari 0.4330, f1 0.6686
acc 0.7228, nmi 0.4045, ari 0.4334, f1 0.6692
acc 0.7225, nmi 0.4051, ari 0.4321, f1 0.6687
acc 0.7208, nmi 0.4037, ari 0.4245, f1 0.6670
acc 0.7207, nmi 0.4052, ari 0.4296, f1 0.6656
acc 0.7197, nmi 0.4018, ari 0.4323, f1 0.6639
acc 0.7200, nmi 0.4039, ari 0.4350, f1 0.6644
acc 0.7199, nmi 0.4036, ari 0.4372, f1 0.6650
acc 0.7216, nmi 0.4054, ari 0.4411, f1 0.6683
