acc 0.8119, nmi 0.5586, ari 0.6140, f1 0.7605
acc 0.7495, nmi 0.4723, ari 0.5024, f1 0.7049
acc 0.4794, nmi 0.1393, ari 0.1569, f1 0.3997
acc 0.5187, nmi 0.1558, ari 0.1386, f1 0.4419
acc 0.3847, nmi 0.0644, ari 0.0519, f1 0.3673
acc 0.3601, nmi 0.0457, ari 0.0417, f1 0.3400
acc 0.3556, nmi 0.0445, ari 0.0409, f1 0.3350
acc 0.3517, nmi 0.0437, ari 0.0411, f1 0.3294
acc 0.3540, nmi 0.0501, ari 0.0402, f1 0.3336
acc 0.3525, nmi 0.0498, ari 0.0406, f1 0.3308
acc 0.3541, nmi 0.0497, ari 0.0404, f1 0.3319
acc 0.4138, nmi 0.0466, ari 0.0649, f1 0.3454
acc 0.4119, nmi 0.0457, ari 0.0635, f1 0.3402
acc 0.4157, nmi 0.0449, ari 0.0642, f1 0.3369
acc 0.4195, nmi 0.0453, ari 0.0660, f1 0.3378
acc 0.4251, nmi 0.0469, ari 0.0695, f1 0.3398
acc 0.4247, nmi 0.0480, ari 0.0702, f1 0.3356
acc 0.4255, nmi 0.0476, ari 0.0699, f1 0.3363
acc 0.4282, nmi 0.0483, ari 0.0725, f1 0.3348
acc 0.4290, nmi 0.0437, ari 0.0635, f1 0.3549
acc 0.4302, nmi 0.0434, ari 0.0630, f1 0.3554
acc 0.4296, nmi 0.0429, ari 0.0620, f1 0.3551
acc 0.4313, nmi 0.0449, ari 0.0642, f1 0.3563
acc 0.4312, nmi 0.0445, ari 0.0637, f1 0.3556
acc 0.4341, nmi 0.0458, ari 0.0655, f1 0.3582
acc 0.4366, nmi 0.0462, ari 0.0670, f1 0.3602
acc 0.4365, nmi 0.0462, ari 0.0669, f1 0.3601
acc 0.4380, nmi 0.0474, ari 0.0677, f1 0.3614
acc 0.4378, nmi 0.0477, ari 0.0677, f1 0.3602
acc 0.4400, nmi 0.0491, ari 0.0698, f1 0.3629
acc 0.4386, nmi 0.0490, ari 0.0694, f1 0.3605
acc 0.4397, nmi 0.0500, ari 0.0708, f1 0.3607
acc 0.4374, nmi 0.0496, ari 0.0701, f1 0.3587
acc 0.4393, nmi 0.0503, ari 0.0718, f1 0.3595
acc 0.4376, nmi 0.0490, ari 0.0698, f1 0.3587
acc 0.4343, nmi 0.0488, ari 0.0687, f1 0.3550
