acc 0.8119, nmi 0.5586, ari 0.6140, f1 0.7605
acc 0.8252, nmi 0.5789, ari 0.6411, f1 0.7756
acc 0.8268, nmi 0.5965, ari 0.6499, f1 0.7829
acc 0.8282, nmi 0.6037, ari 0.6548, f1 0.7849
acc 0.8332, nmi 0.6152, ari 0.6647, f1 0.7903
acc 0.8388, nmi 0.6286, ari 0.6774, f1 0.7959
acc 0.8421, nmi 0.6363, ari 0.6841, f1 0.7995
acc 0.8444, nmi 0.6421, ari 0.6896, f1 0.8016
acc 0.8460, nmi 0.6459, ari 0.6925, f1 0.8033
acc 0.8473, nmi 0.6493, ari 0.6951, f1 0.8049
acc 0.8452, nmi 0.6462, ari 0.6909, f1 0.8029
acc 0.8442, nmi 0.6468, ari 0.6903, f1 0.8017
acc 0.8434, nmi 0.6474, ari 0.6889, f1 0.8011
acc 0.8423, nmi 0.6467, ari 0.6876, f1 0.8000
acc 0.8411, nmi 0.6452, ari 0.6854, f1 0.7990
acc 0.8417, nmi 0.6473, ari 0.6871, f1 0.7995
acc 0.8414, nmi 0.6463, ari 0.6865, f1 0.7992
acc 0.8405, nmi 0.6440, ari 0.6844, f1 0.7983
acc 0.8407, nmi 0.6445, ari 0.6845, f1 0.7986
acc 0.8407, nmi 0.6447, ari 0.6843, f1 0.7987
acc 0.8397, nmi 0.6441, ari 0.6825, f1 0.7978
acc 0.8388, nmi 0.6436, ari 0.6813, f1 0.7968
acc 0.8386, nmi 0.6429, ari 0.6808, f1 0.7967
acc 0.8382, nmi 0.6424, ari 0.6802, f1 0.7963
acc 0.8374, nmi 0.6411, ari 0.6780, f1 0.7958
acc 0.8371, nmi 0.6412, ari 0.6772, f1 0.7956
acc 0.8363, nmi 0.6400, ari 0.6752, f1 0.7950
acc 0.8363, nmi 0.6405, ari 0.6753, f1 0.7950
acc 0.8363, nmi 0.6400, ari 0.6749, f1 0.7951
acc 0.8361, nmi 0.6392, ari 0.6742, f1 0.7950
acc 0.8356, nmi 0.6384, ari 0.6730, f1 0.7945
