26P :acc 0.6990 , nmi 0.3537 , ari 0.3629 , f1 0.7013
27Q :acc 0.7057 , nmi 0.3661 , ari 0.3683 , f1 0.7084
27Z :acc 0.5630 , nmi 0.2699 , ari 0.2550 , f1 0.5226
27P :acc 0.6995 , nmi 0.3540 , ari 0.3637 , f1 0.7018
28Q :acc 0.7054 , nmi 0.3662 , ari 0.3681 , f1 0.7081
28Z :acc 0.5684 , nmi 0.2760 , ari 0.2606 , f1 0.5273
28P :acc 0.7000 , nmi 0.3550 , ari 0.3645 , f1 0.7023
29Q :acc 0.7054 , nmi 0.3662 , ari 0.3682 , f1 0.7081
29Z :acc 0.5748 , nmi 0.2820 , ari 0.2668 , f1 0.5341
29P :acc 0.7003 , nmi 0.3553 , ari 0.3649 , f1 0.7026
30Q :acc 0.7059 , nmi 0.3671 , ari 0.3690 , f1 0.7085
30Z :acc 0.5810 , nmi 0.2891 , ari 0.2744 , f1 0.5408
30P :acc 0.6998 , nmi 0.3541 , ari 0.3643 , f1 0.7019
31Q :acc 0.7064 , nmi 0.3684 , ari 0.3702 , f1 0.7091
31Z :acc 0.5844 , nmi 0.2925 , ari 0.2777 , f1 0.5438
31P :acc 0.7000 , nmi 0.3547 , ari 0.3644 , f1 0.7023
32Q :acc 0.7069 , nmi 0.3692 , ari 0.3713 , f1 0.7095
32Z :acc 0.5894 , nmi 0.2976 , ari 0.2812 , f1 0.5487
32P :acc 0.7013 , nmi 0.3569 , ari 0.3666 , f1 0.7035
33Q :acc 0.7069 , nmi 0.3690 , ari 0.3713 , f1 0.7095
33Z :acc 0.5921 , nmi 0.3003 , ari 0.2830 , f1 0.5522
33P :acc 0.7018 , nmi 0.3582 , ari 0.3674 , f1 0.7042
34Q :acc 0.7067 , nmi 0.3687 , ari 0.3711 , f1 0.7092
34Z :acc 0.5967 , nmi 0.3048 , ari 0.2877 , f1 0.5567
34P :acc 0.7010 , nmi 0.3573 , ari 0.3665 , f1 0.7033
35Q :acc 0.7057 , nmi 0.3674 , ari 0.3694 , f1 0.7083
35Z :acc 0.5987 , nmi 0.3075 , ari 0.2896 , f1 0.5592
35P :acc 0.7015 , nmi 0.3586 , ari 0.3671 , f1 0.7039
36Q :acc 0.7059 , nmi 0.3683 , ari 0.3697 , f1 0.7086
36Z :acc 0.6014 , nmi 0.3114 , ari 0.2923 , f1 0.5615
36P :acc 0.7015 , nmi 0.3592 , ari 0.3674 , f1 0.7038
37Q :acc 0.7062 , nmi 0.3685 , ari 0.3697 , f1 0.7090
37Z :acc 0.6056 , nmi 0.3129 , ari 0.2934 , f1 0.5672
37P :acc 0.7018 , nmi 0.3595 , ari 0.3675 , f1 0.7040
38Q :acc 0.7052 , nmi 0.3672 , ari 0.3682 , f1 0.7081
