acc 0.8213, nmi 0.8122, ari 0.7576, f1 0.7914
acc 0.8208, nmi 0.8122, ari 0.7571, f1 0.7910
acc 0.8217, nmi 0.8127, ari 0.7582, f1 0.7915
acc 0.8227, nmi 0.8135, ari 0.7593, f1 0.7921
acc 0.8225, nmi 0.8133, ari 0.7592, f1 0.7921
acc 0.8224, nmi 0.8138, ari 0.7592, f1 0.7922
acc 0.8224, nmi 0.8136, ari 0.7592, f1 0.7922
acc 0.8232, nmi 0.8138, ari 0.7599, f1 0.7925
acc 0.8235, nmi 0.8141, ari 0.7605, f1 0.7931
acc 0.8239, nmi 0.8148, ari 0.7614, f1 0.7934
acc 0.8245, nmi 0.8157, ari 0.7622, f1 0.7938
acc 0.8245, nmi 0.8164, ari 0.7624, f1 0.7942
acc 0.8246, nmi 0.8166, ari 0.7624, f1 0.7943
acc 0.8246, nmi 0.8168, ari 0.7625, f1 0.7942
acc 0.8251, nmi 0.8170, ari 0.7632, f1 0.7946
acc 0.8258, nmi 0.8173, ari 0.7639, f1 0.7949
acc 0.8256, nmi 0.8170, ari 0.7636, f1 0.7947
acc 0.8260, nmi 0.8180, ari 0.7644, f1 0.7953
acc 0.8261, nmi 0.8183, ari 0.7646, f1 0.7955
acc 0.8262, nmi 0.8182, ari 0.7646, f1 0.7955
acc 0.8263, nmi 0.8184, ari 0.7648, f1 0.7956
acc 0.8267, nmi 0.8190, ari 0.7654, f1 0.7959
acc 0.8271, nmi 0.8194, ari 0.7657, f1 0.7960
acc 0.8271, nmi 0.8194, ari 0.7658, f1 0.7961
acc 0.8267, nmi 0.8189, ari 0.7653, f1 0.7959
acc 0.8270, nmi 0.8193, ari 0.7657, f1 0.7961
acc 0.8270, nmi 0.8195, ari 0.7657, f1 0.7961
acc 0.8271, nmi 0.8196, ari 0.7657, f1 0.7961
acc 0.8270, nmi 0.8196, ari 0.7657, f1 0.7958
acc 0.8273, nmi 0.8196, ari 0.7659, f1 0.7963
acc 0.8275, nmi 0.8198, ari 0.7663, f1 0.7961
acc 0.8274, nmi 0.8198, ari 0.7662, f1 0.7960
acc 0.8277, nmi 0.8200, ari 0.7666, f1 0.7962
acc 0.8284, nmi 0.8201, ari 0.7671, f1 0.7966
acc 0.8284, nmi 0.8201, ari 0.7672, f1 0.7966
acc 0.8285, nmi 0.8202, ari 0.7672, f1 0.7967
acc 0.8284, nmi 0.8200, ari 0.7672, f1 0.7964
acc 0.8281, nmi 0.8203, ari 0.7669, f1 0.7966
acc 0.8291, nmi 0.8210, ari 0.7682, f1 0.7972
acc 0.8290, nmi 0.8210, ari 0.7682, f1 0.7969
acc 0.8290, nmi 0.8214, ari 0.7683, f1 0.7972
acc 0.8291, nmi 0.8211, ari 0.7684, f1 0.7971
acc 0.8294, nmi 0.8213, ari 0.7687, f1 0.7973
acc 0.8292, nmi 0.8216, ari 0.7685, f1 0.7975
acc 0.8293, nmi 0.8213, ari 0.7685, f1 0.7974
acc 0.8293, nmi 0.8215, ari 0.7687, f1 0.7973
acc 0.8295, nmi 0.8219, ari 0.7690, f1 0.7975
acc 0.8295, nmi 0.8219, ari 0.7688, f1 0.7975
acc 0.8295, nmi 0.8218, ari 0.7688, f1 0.7975
acc 0.8299, nmi 0.8222, ari 0.7694, f1 0.7978
acc 0.8301, nmi 0.8222, ari 0.7694, f1 0.7982
acc 0.8301, nmi 0.8226, ari 0.7695, f1 0.7982
acc 0.8301, nmi 0.8226, ari 0.7695, f1 0.7982
acc 0.8304, nmi 0.8228, ari 0.7701, f1 0.7983
acc 0.8306, nmi 0.8231, ari 0.7703, f1 0.7987
acc 0.8304, nmi 0.8228, ari 0.7699, f1 0.7984
acc 0.8307, nmi 0.8234, ari 0.7705, f1 0.7988
acc 0.8309, nmi 0.8237, ari 0.7709, f1 0.7990
acc 0.8305, nmi 0.8232, ari 0.7703, f1 0.7986
acc 0.8304, nmi 0.8235, ari 0.7704, f1 0.7984
acc 0.8306, nmi 0.8236, ari 0.7707, f1 0.7986
acc 0.8305, nmi 0.8234, ari 0.7706, f1 0.7987
acc 0.8306, nmi 0.8240, ari 0.7708, f1 0.7987
acc 0.8308, nmi 0.8244, ari 0.7712, f1 0.7989
acc 0.8310, nmi 0.8245, ari 0.7715, f1 0.7991
acc 0.8308, nmi 0.8243, ari 0.7712, f1 0.7990
acc 0.8308, nmi 0.8242, ari 0.7712, f1 0.7990
acc 0.8308, nmi 0.8243, ari 0.7712, f1 0.7990
acc 0.8306, nmi 0.8242, ari 0.7710, f1 0.7989
acc 0.8306, nmi 0.8243, ari 0.7710, f1 0.7989
acc 0.8305, nmi 0.8241, ari 0.7707, f1 0.7988
acc 0.8306, nmi 0.8244, ari 0.7709, f1 0.7989
acc 0.8308, nmi 0.8247, ari 0.7713, f1 0.7991
acc 0.8307, nmi 0.8245, ari 0.7711, f1 0.7989
acc 0.8307, nmi 0.8245, ari 0.7711, f1 0.7989
acc 0.8310, nmi 0.8249, ari 0.7715, f1 0.7991
acc 0.8313, nmi 0.8251, ari 0.7719, f1 0.7993
acc 0.8311, nmi 0.8249, ari 0.7718, f1 0.7993
acc 0.8309, nmi 0.8245, ari 0.7714, f1 0.7991
acc 0.8309, nmi 0.8244, ari 0.7715, f1 0.7991
acc 0.8313, nmi 0.8249, ari 0.7718, f1 0.7993
acc 0.8313, nmi 0.8249, ari 0.7718, f1 0.7993
acc 0.8313, nmi 0.8251, ari 0.7719, f1 0.7993
acc 0.8311, nmi 0.8249, ari 0.7717, f1 0.7992
acc 0.8309, nmi 0.8245, ari 0.7714, f1 0.7990
acc 0.8309, nmi 0.8245, ari 0.7714, f1 0.7990
acc 0.8309, nmi 0.8244, ari 0.7714, f1 0.7991
acc 0.8313, nmi 0.8249, ari 0.7718, f1 0.7993
acc 0.8311, nmi 0.8248, ari 0.7717, f1 0.7992
acc 0.8311, nmi 0.8248, ari 0.7717, f1 0.7992
acc 0.8313, nmi 0.8250, ari 0.7719, f1 0.7993
acc 0.8310, nmi 0.8248, ari 0.7716, f1 0.7992
acc 0.8314, nmi 0.8251, ari 0.7721, f1 0.7995
acc 0.8316, nmi 0.8254, ari 0.7726, f1 0.7998
acc 0.8313, nmi 0.8251, ari 0.7720, f1 0.7994
acc 0.8311, nmi 0.8248, ari 0.7717, f1 0.7992
acc 0.8313, nmi 0.8250, ari 0.7719, f1 0.7993
acc 0.8313, nmi 0.8252, ari 0.7720, f1 0.7994
acc 0.8314, nmi 0.8253, ari 0.7722, f1 0.7995
acc 0.8314, nmi 0.8253, ari 0.7722, f1 0.7995
acc 0.8315, nmi 0.8253, ari 0.7724, f1 0.7997
acc 0.8314, nmi 0.8253, ari 0.7722, f1 0.7996
acc 0.8313, nmi 0.8251, ari 0.7720, f1 0.7994
acc 0.8313, nmi 0.8249, ari 0.7720, f1 0.7994
