acc 0.6390, nmi 0.6627, ari 0.5730, f1 0.5966
acc 0.6354, nmi 0.6685, ari 0.5694, f1 0.5946
acc 0.6765, nmi 0.6565, ari 0.5631, f1 0.6644
acc 0.6954, nmi 0.6728, ari 0.5879, f1 0.6826
acc 0.7061, nmi 0.6853, ari 0.6040, f1 0.6935
acc 0.7133, nmi 0.7001, ari 0.6178, f1 0.7018
acc 0.7219, nmi 0.7151, ari 0.6324, f1 0.7100
acc 0.7294, nmi 0.7268, ari 0.6433, f1 0.7178
acc 0.7318, nmi 0.7307, ari 0.6467, f1 0.7198
acc 0.7375, nmi 0.7387, ari 0.6557, f1 0.7264
acc 0.7408, nmi 0.7435, ari 0.6609, f1 0.7302
acc 0.7448, nmi 0.7456, ari 0.6644, f1 0.7332
acc 0.7462, nmi 0.7471, ari 0.6658, f1 0.7346
acc 0.7483, nmi 0.7487, ari 0.6678, f1 0.7366
acc 0.7496, nmi 0.7508, ari 0.6698, f1 0.7382
acc 0.7525, nmi 0.7533, ari 0.6724, f1 0.7410
acc 0.7531, nmi 0.7536, ari 0.6717, f1 0.7414
acc 0.7547, nmi 0.7541, ari 0.6731, f1 0.7426
acc 0.7561, nmi 0.7571, ari 0.6757, f1 0.7440
acc 0.7570, nmi 0.7584, ari 0.6773, f1 0.7452
acc 0.7577, nmi 0.7601, ari 0.6791, f1 0.7456
acc 0.7579, nmi 0.7617, ari 0.6800, f1 0.7454
acc 0.7590, nmi 0.7632, ari 0.6825, f1 0.7469
acc 0.7593, nmi 0.7643, ari 0.6836, f1 0.7477
acc 0.7610, nmi 0.7667, ari 0.6869, f1 0.7496
acc 0.7626, nmi 0.7688, ari 0.6904, f1 0.7517
acc 0.7622, nmi 0.7706, ari 0.6920, f1 0.7518
acc 0.7637, nmi 0.7743, ari 0.6960, f1 0.7533
acc 0.7650, nmi 0.7760, ari 0.6982, f1 0.7545
acc 0.7659, nmi 0.7772, ari 0.6995, f1 0.7554
acc 0.7667, nmi 0.7784, ari 0.7011, f1 0.7563
acc 0.7679, nmi 0.7797, ari 0.7028, f1 0.7575
acc 0.7680, nmi 0.7806, ari 0.7038, f1 0.7577
acc 0.7695, nmi 0.7829, ari 0.7066, f1 0.7591
acc 0.7713, nmi 0.7849, ari 0.7095, f1 0.7609
acc 0.7718, nmi 0.7859, ari 0.7109, f1 0.7616
acc 0.7739, nmi 0.7876, ari 0.7140, f1 0.7634
acc 0.7749, nmi 0.7883, ari 0.7157, f1 0.7645
acc 0.7754, nmi 0.7890, ari 0.7172, f1 0.7654
acc 0.7772, nmi 0.7904, ari 0.7198, f1 0.7668
acc 0.7782, nmi 0.7914, ari 0.7214, f1 0.7680
acc 0.7795, nmi 0.7931, ari 0.7234, f1 0.7691
acc 0.7802, nmi 0.7936, ari 0.7242, f1 0.7697
acc 0.7808, nmi 0.7945, ari 0.7251, f1 0.7703
acc 0.7811, nmi 0.7948, ari 0.7257, f1 0.7704
acc 0.7822, nmi 0.7952, ari 0.7266, f1 0.7712
acc 0.7830, nmi 0.7959, ari 0.7275, f1 0.7719
acc 0.7839, nmi 0.7971, ari 0.7291, f1 0.7728
acc 0.7853, nmi 0.7984, ari 0.7307, f1 0.7741
acc 0.7860, nmi 0.7991, ari 0.7317, f1 0.7747
acc 0.7874, nmi 0.7999, ari 0.7329, f1 0.7757
acc 0.7884, nmi 0.8011, ari 0.7346, f1 0.7767
acc 0.7894, nmi 0.8020, ari 0.7359, f1 0.7775
acc 0.7905, nmi 0.8029, ari 0.7372, f1 0.7785
acc 0.7902, nmi 0.8029, ari 0.7372, f1 0.7781
acc 0.7909, nmi 0.8039, ari 0.7385, f1 0.7788
acc 0.7920, nmi 0.8051, ari 0.7399, f1 0.7798
acc 0.7923, nmi 0.8056, ari 0.7405, f1 0.7802
acc 0.7930, nmi 0.8072, ari 0.7421, f1 0.7804
acc 0.7941, nmi 0.8089, ari 0.7441, f1 0.7815
acc 0.7945, nmi 0.8091, ari 0.7444, f1 0.7815
acc 0.7954, nmi 0.8111, ari 0.7462, f1 0.7824
