acc 0.6390, nmi 0.6627, ari 0.5730, f1 0.5966
acc 0.6518, nmi 0.6127, ari 0.5139, f1 0.6263
acc 0.6119, nmi 0.6058, ari 0.5011, f1 0.5655
acc 0.5500, nmi 0.5767, ari 0.4557, f1 0.5053
acc 0.5464, nmi 0.5769, ari 0.4522, f1 0.5049
acc 0.5460, nmi 0.5759, ari 0.4517, f1 0.5047
acc 0.5419, nmi 0.5823, ari 0.4614, f1 0.4992
acc 0.5443, nmi 0.5796, ari 0.4591, f1 0.5038
acc 0.5180, nmi 0.5678, ari 0.4415, f1 0.4706
acc 0.5160, nmi 0.5652, ari 0.4398, f1 0.4744
acc 0.5826, nmi 0.5917, ari 0.4763, f1 0.5449
acc 0.5739, nmi 0.5903, ari 0.4717, f1 0.5396
acc 0.5781, nmi 0.5858, ari 0.4702, f1 0.5408
acc 0.5780, nmi 0.5862, ari 0.4719, f1 0.5415
acc 0.5803, nmi 0.5884, ari 0.4737, f1 0.5438
acc 0.5829, nmi 0.5912, ari 0.4780, f1 0.5468
acc 0.5813, nmi 0.5983, ari 0.4857, f1 0.5646
acc 0.5882, nmi 0.6053, ari 0.4952, f1 0.5707
acc 0.5950, nmi 0.6082, ari 0.5006, f1 0.5791
acc 0.5944, nmi 0.6107, ari 0.5031, f1 0.5780
acc 0.5969, nmi 0.6126, ari 0.5054, f1 0.5811
acc 0.6137, nmi 0.6096, ari 0.5113, f1 0.5961
acc 0.6117, nmi 0.6114, ari 0.5107, f1 0.5801
acc 0.6107, nmi 0.6125, ari 0.5105, f1 0.5788
acc 0.6129, nmi 0.6142, ari 0.5116, f1 0.5812
acc 0.6370, nmi 0.5983, ari 0.5027, f1 0.6096
acc 0.6325, nmi 0.5949, ari 0.4989, f1 0.6040
acc 0.6024, nmi 0.6043, ari 0.5093, f1 0.5483
acc 0.6059, nmi 0.6061, ari 0.5130, f1 0.5511
acc 0.6055, nmi 0.5830, ari 0.4752, f1 0.5488
acc 0.6036, nmi 0.6057, ari 0.5123, f1 0.5462
acc 0.6022, nmi 0.5845, ari 0.4748, f1 0.5459
acc 0.6052, nmi 0.5837, ari 0.4754, f1 0.5520
acc 0.6065, nmi 0.5842, ari 0.4762, f1 0.5530
acc 0.6009, nmi 0.5806, ari 0.4707, f1 0.5462
acc 0.5999, nmi 0.5804, ari 0.4696, f1 0.5452
acc 0.5966, nmi 0.5803, ari 0.4674, f1 0.5420
acc 0.5929, nmi 0.5785, ari 0.4640, f1 0.5387
acc 0.5909, nmi 0.5770, ari 0.4621, f1 0.5370
acc 0.5894, nmi 0.5770, ari 0.4609, f1 0.5359
acc 0.5621, nmi 0.5804, ari 0.4629, f1 0.4745
acc 0.5610, nmi 0.5801, ari 0.4622, f1 0.4733
acc 0.5640, nmi 0.5815, ari 0.4621, f1 0.4762
acc 0.5664, nmi 0.5823, ari 0.4643, f1 0.4781
acc 0.5658, nmi 0.5832, ari 0.4621, f1 0.4778
acc 0.5659, nmi 0.5820, ari 0.4612, f1 0.4776
acc 0.5621, nmi 0.5839, ari 0.4607, f1 0.4743
acc 0.5816, nmi 0.5710, ari 0.4491, f1 0.5253
acc 0.5789, nmi 0.5720, ari 0.4478, f1 0.5225
acc 0.5751, nmi 0.5732, ari 0.4471, f1 0.5189
acc 0.5751, nmi 0.5742, ari 0.4494, f1 0.5181
acc 0.5621, nmi 0.5886, ari 0.4633, f1 0.4717
acc 0.5661, nmi 0.5932, ari 0.4677, f1 0.4753
acc 0.5653, nmi 0.5942, ari 0.4695, f1 0.4744
acc 0.5730, nmi 0.5997, ari 0.4759, f1 0.4796
acc 0.5743, nmi 0.6015, ari 0.4785, f1 0.4815
acc 0.5755, nmi 0.6028, ari 0.4807, f1 0.4815
acc 0.5772, nmi 0.6051, ari 0.4837, f1 0.4830
acc 0.5804, nmi 0.6088, ari 0.4882, f1 0.4849
acc 0.5820, nmi 0.6137, ari 0.4914, f1 0.4864
acc 0.5831, nmi 0.6171, ari 0.4956, f1 0.4869
acc 0.5849, nmi 0.6212, ari 0.4997, f1 0.4877
acc 0.6367, nmi 0.6507, ari 0.5357, f1 0.5555
acc 0.6412, nmi 0.6558, ari 0.5419, f1 0.5597
acc 0.6420, nmi 0.6557, ari 0.5376, f1 0.5594
acc 0.6405, nmi 0.6562, ari 0.5443, f1 0.5592
acc 0.6439, nmi 0.6569, ari 0.5405, f1 0.5604
acc 0.6472, nmi 0.6610, ari 0.5451, f1 0.5631
acc 0.6491, nmi 0.6648, ari 0.5476, f1 0.5649
acc 0.6498, nmi 0.6670, ari 0.5490, f1 0.5655
acc 0.6508, nmi 0.6685, ari 0.5502, f1 0.5664
acc 0.6510, nmi 0.6699, ari 0.5507, f1 0.5665
acc 0.6525, nmi 0.6720, ari 0.5523, f1 0.5681
acc 0.6510, nmi 0.6712, ari 0.5505, f1 0.5668
acc 0.6516, nmi 0.6724, ari 0.5514, f1 0.5675
acc 0.6515, nmi 0.6716, ari 0.5509, f1 0.5674
acc 0.6526, nmi 0.6725, ari 0.5522, f1 0.5682
acc 0.6537, nmi 0.6749, ari 0.5541, f1 0.5695
acc 0.6553, nmi 0.6771, ari 0.5562, f1 0.5708
acc 0.6566, nmi 0.6780, ari 0.5584, f1 0.5718
acc 0.6571, nmi 0.6785, ari 0.5588, f1 0.5723
acc 0.6572, nmi 0.6788, ari 0.5596, f1 0.5722
acc 0.6579, nmi 0.6797, ari 0.5603, f1 0.5726
acc 0.6587, nmi 0.6813, ari 0.5619, f1 0.5734
acc 0.6604, nmi 0.6830, ari 0.5647, f1 0.5746
acc 0.6614, nmi 0.6831, ari 0.5661, f1 0.5752
acc 0.6640, nmi 0.6863, ari 0.5701, f1 0.5777
acc 0.6650, nmi 0.6869, ari 0.5713, f1 0.5786
acc 0.6656, nmi 0.6875, ari 0.5722, f1 0.5791
acc 0.6662, nmi 0.6892, ari 0.5726, f1 0.5797
acc 0.6667, nmi 0.6903, ari 0.5736, f1 0.5803
acc 0.6683, nmi 0.6924, ari 0.5756, f1 0.5817
acc 0.6684, nmi 0.6932, ari 0.5763, f1 0.5817
acc 0.6682, nmi 0.6935, ari 0.5760, f1 0.5814
acc 0.6694, nmi 0.6937, ari 0.5763, f1 0.5823
acc 0.6697, nmi 0.6944, ari 0.5772, f1 0.5824
acc 0.6704, nmi 0.6952, ari 0.5784, f1 0.5828
acc 0.6704, nmi 0.6950, ari 0.5784, f1 0.5824
acc 0.6700, nmi 0.6944, ari 0.5779, f1 0.5820
acc 0.6698, nmi 0.6939, ari 0.5776, f1 0.5815
acc 0.6695, nmi 0.6938, ari 0.5769, f1 0.5810
acc 0.6692, nmi 0.6938, ari 0.5764, f1 0.5805
acc 0.6694, nmi 0.6942, ari 0.5766, f1 0.5806
acc 0.6692, nmi 0.6945, ari 0.5760, f1 0.5804
acc 0.6690, nmi 0.6935, ari 0.5753, f1 0.5798
acc 0.6687, nmi 0.6936, ari 0.5755, f1 0.5795
acc 0.6697, nmi 0.6951, ari 0.5763, f1 0.5805
acc 0.6700, nmi 0.6952, ari 0.5767, f1 0.5809
acc 0.6690, nmi 0.6948, ari 0.5748, f1 0.5793
acc 0.6681, nmi 0.6945, ari 0.5737, f1 0.5784
acc 0.6683, nmi 0.6956, ari 0.5739, f1 0.5783
acc 0.6691, nmi 0.6971, ari 0.5748, f1 0.5789
acc 0.6684, nmi 0.6977, ari 0.5747, f1 0.5783
acc 0.6686, nmi 0.6983, ari 0.5752, f1 0.5778
acc 0.6692, nmi 0.6991, ari 0.5759, f1 0.5784
acc 0.6691, nmi 0.7002, ari 0.5767, f1 0.5778
acc 0.6685, nmi 0.7010, ari 0.5758, f1 0.5764
acc 0.6678, nmi 0.7009, ari 0.5752, f1 0.5755
acc 0.6693, nmi 0.7020, ari 0.5769, f1 0.5768
acc 0.6678, nmi 0.7018, ari 0.5753, f1 0.5748
acc 0.6743, nmi 0.7063, ari 0.5857, f1 0.5843
acc 0.6657, nmi 0.7011, ari 0.5734, f1 0.5714
acc 0.6672, nmi 0.7034, ari 0.5754, f1 0.5732
acc 0.6686, nmi 0.7059, ari 0.5770, f1 0.5747
acc 0.6693, nmi 0.7063, ari 0.5777, f1 0.5757
acc 0.6710, nmi 0.7067, ari 0.5790, f1 0.5787
acc 0.7467, nmi 0.7375, ari 0.6441, f1 0.6865
acc 0.7489, nmi 0.7381, ari 0.6469, f1 0.6890
acc 0.6736, nmi 0.7069, ari 0.5844, f1 0.5822
acc 0.6733, nmi 0.7064, ari 0.5841, f1 0.5819
acc 0.6737, nmi 0.7073, ari 0.5845, f1 0.5823
acc 0.6739, nmi 0.7083, ari 0.5849, f1 0.5828
acc 0.6741, nmi 0.7094, ari 0.5850, f1 0.5833
acc 0.6741, nmi 0.7101, ari 0.5850, f1 0.5829
acc 0.6756, nmi 0.7113, ari 0.5868, f1 0.5845
acc 0.6767, nmi 0.7123, ari 0.5888, f1 0.5866
acc 0.6877, nmi 0.7080, ari 0.5791, f1 0.6021
acc 0.6856, nmi 0.7073, ari 0.5777, f1 0.5992
acc 0.6846, nmi 0.7070, ari 0.5764, f1 0.5984
acc 0.6840, nmi 0.7062, ari 0.5747, f1 0.5984
acc 0.6821, nmi 0.7055, ari 0.5720, f1 0.5960
acc 0.6817, nmi 0.7056, ari 0.5709, f1 0.5958
acc 0.6800, nmi 0.7041, ari 0.5677, f1 0.5946
acc 0.6797, nmi 0.7041, ari 0.5673, f1 0.5939
acc 0.6785, nmi 0.7043, ari 0.5667, f1 0.5940
acc 0.6790, nmi 0.7060, ari 0.5699, f1 0.5911
acc 0.6806, nmi 0.7067, ari 0.5722, f1 0.5924
acc 0.6803, nmi 0.7074, ari 0.5733, f1 0.5916
acc 0.6797, nmi 0.7070, ari 0.5724, f1 0.5913
acc 0.6790, nmi 0.7062, ari 0.5710, f1 0.5909
acc 0.6784, nmi 0.7058, ari 0.5704, f1 0.5905
acc 0.6792, nmi 0.7063, ari 0.5714, f1 0.5912
acc 0.6795, nmi 0.7067, ari 0.5714, f1 0.5915
acc 0.6806, nmi 0.7062, ari 0.5703, f1 0.5941
acc 0.6808, nmi 0.7058, ari 0.5694, f1 0.5949
acc 0.6803, nmi 0.7053, ari 0.5683, f1 0.5945
acc 0.6805, nmi 0.7058, ari 0.5680, f1 0.5949
acc 0.6806, nmi 0.7061, ari 0.5684, f1 0.5949
acc 0.6807, nmi 0.7058, ari 0.5686, f1 0.5948
acc 0.6815, nmi 0.7066, ari 0.5708, f1 0.5954
acc 0.6806, nmi 0.7062, ari 0.5692, f1 0.5945
acc 0.6811, nmi 0.7075, ari 0.5702, f1 0.5947
acc 0.6800, nmi 0.7074, ari 0.5701, f1 0.5928
acc 0.6791, nmi 0.7076, ari 0.5695, f1 0.5914
acc 0.6769, nmi 0.7061, ari 0.5683, f1 0.5880
acc 0.6770, nmi 0.7065, ari 0.5690, f1 0.5879
acc 0.6762, nmi 0.7069, ari 0.5694, f1 0.5860
acc 0.6758, nmi 0.7079, ari 0.5710, f1 0.5847
acc 0.6749, nmi 0.7078, ari 0.5712, f1 0.5829
acc 0.6736, nmi 0.7087, ari 0.5732, f1 0.5797
acc 0.6736, nmi 0.7092, ari 0.5741, f1 0.5792
acc 0.6737, nmi 0.7096, ari 0.5750, f1 0.5790
acc 0.7391, nmi 0.7432, ari 0.6492, f1 0.6724
acc 0.7390, nmi 0.7443, ari 0.6500, f1 0.6718
acc 0.7393, nmi 0.7449, ari 0.6506, f1 0.6721
acc 0.7389, nmi 0.7447, ari 0.6510, f1 0.6711
acc 0.7390, nmi 0.7446, ari 0.6509, f1 0.6712
acc 0.7385, nmi 0.7449, ari 0.6512, f1 0.6703
acc 0.7388, nmi 0.7450, ari 0.6516, f1 0.6704
acc 0.7385, nmi 0.7454, ari 0.6519, f1 0.6698
acc 0.7374, nmi 0.7463, ari 0.6525, f1 0.6669
acc 0.7383, nmi 0.7477, ari 0.6543, f1 0.6677
acc 0.7389, nmi 0.7483, ari 0.6554, f1 0.6680
acc 0.7388, nmi 0.7488, ari 0.6561, f1 0.6675
acc 0.7389, nmi 0.7491, ari 0.6565, f1 0.6675
acc 0.7388, nmi 0.7491, ari 0.6567, f1 0.6672
acc 0.7365, nmi 0.7498, ari 0.6570, f1 0.6625
acc 0.7347, nmi 0.7489, ari 0.6564, f1 0.6589
acc 0.7360, nmi 0.7501, ari 0.6575, f1 0.6614
acc 0.7353, nmi 0.7491, ari 0.6573, f1 0.6597
acc 0.7332, nmi 0.7494, ari 0.6572, f1 0.6556
acc 0.7326, nmi 0.7494, ari 0.6571, f1 0.6549
acc 0.7324, nmi 0.7494, ari 0.6571, f1 0.6546
acc 0.7326, nmi 0.7497, ari 0.6573, f1 0.6548
acc 0.7327, nmi 0.7504, ari 0.6577, f1 0.6549
acc 0.7326, nmi 0.7504, ari 0.6578, f1 0.6547
acc 0.7105, nmi 0.7195, ari 0.5988, f1 0.6327
acc 0.7802, nmi 0.7552, ari 0.6753, f1 0.7306
acc 0.7804, nmi 0.7554, ari 0.6755, f1 0.7309
acc 0.7804, nmi 0.7555, ari 0.6756, f1 0.7309
