acc 0.3672, nmi 0.3427, ari 0.2209, f1 0.3326
acc 0.3615, nmi 0.3394, ari 0.2158, f1 0.3278
acc 0.3567, nmi 0.3379, ari 0.2121, f1 0.3242
acc 0.3556, nmi 0.3387, ari 0.2114, f1 0.3229
acc 0.3519, nmi 0.3391, ari 0.2095, f1 0.3201
acc 0.3527, nmi 0.3408, ari 0.2117, f1 0.3196
acc 0.3552, nmi 0.3443, ari 0.2143, f1 0.3247
acc 0.3558, nmi 0.3490, ari 0.2177, f1 0.3255
acc 0.3604, nmi 0.3549, ari 0.2224, f1 0.3322
acc 0.3672, nmi 0.3597, ari 0.2295, f1 0.3389
acc 0.3741, nmi 0.3650, ari 0.2371, f1 0.3448
acc 0.3795, nmi 0.3697, ari 0.2418, f1 0.3500
acc 0.4297, nmi 0.3940, ari 0.2597, f1 0.3935
acc 0.4322, nmi 0.4030, ari 0.2630, f1 0.3995
acc 0.4292, nmi 0.4082, ari 0.2636, f1 0.3991
acc 0.4347, nmi 0.4113, ari 0.2670, f1 0.4031
acc 0.4319, nmi 0.4149, ari 0.2667, f1 0.4022
acc 0.4425, nmi 0.4172, ari 0.2710, f1 0.4094
acc 0.4543, nmi 0.4235, ari 0.2825, f1 0.4177
acc 0.4616, nmi 0.4268, ari 0.2876, f1 0.4237
acc 0.4662, nmi 0.4309, ari 0.2922, f1 0.4289
acc 0.4625, nmi 0.4320, ari 0.2899, f1 0.4261
acc 0.4598, nmi 0.4318, ari 0.2875, f1 0.4242
acc 0.4559, nmi 0.4342, ari 0.2856, f1 0.4203
acc 0.4567, nmi 0.4369, ari 0.2900, f1 0.4178
acc 0.4491, nmi 0.4335, ari 0.2818, f1 0.4111
acc 0.4490, nmi 0.4334, ari 0.2810, f1 0.4100
acc 0.4436, nmi 0.4327, ari 0.2801, f1 0.4023
acc 0.4419, nmi 0.4319, ari 0.2776, f1 0.4010
acc 0.4440, nmi 0.4327, ari 0.2792, f1 0.4029
acc 0.4429, nmi 0.4329, ari 0.2779, f1 0.4025
acc 0.4539, nmi 0.4411, ari 0.2866, f1 0.4142
acc 0.4567, nmi 0.4458, ari 0.2911, f1 0.4166
acc 0.4568, nmi 0.4485, ari 0.2916, f1 0.4181
acc 0.4591, nmi 0.4510, ari 0.3130, f1 0.4303
acc 0.4614, nmi 0.4509, ari 0.3128, f1 0.4234
acc 0.4573, nmi 0.4520, ari 0.3103, f1 0.4306
acc 0.4567, nmi 0.4510, ari 0.3088, f1 0.4291
acc 0.4555, nmi 0.4507, ari 0.3074, f1 0.4279
acc 0.4501, nmi 0.4484, ari 0.3031, f1 0.4240
acc 0.4507, nmi 0.4451, ari 0.2993, f1 0.4266
acc 0.4428, nmi 0.4432, ari 0.2951, f1 0.4194
acc 0.4398, nmi 0.4418, ari 0.2909, f1 0.4158
