acc 0.6390, nmi 0.6627, ari 0.5730, f1 0.5966
acc 0.6716, nmi 0.6019, ari 0.5135, f1 0.6277
acc 0.6095, nmi 0.6027, ari 0.4970, f1 0.5627
acc 0.5451, nmi 0.5747, ari 0.4536, f1 0.4997
acc 0.5433, nmi 0.5707, ari 0.4450, f1 0.5018
acc 0.5390, nmi 0.5744, ari 0.4519, f1 0.4951
acc 0.5102, nmi 0.5526, ari 0.4305, f1 0.4598
acc 0.5055, nmi 0.5478, ari 0.4243, f1 0.4551
acc 0.5027, nmi 0.5450, ari 0.4207, f1 0.4515
acc 0.4891, nmi 0.5436, ari 0.4105, f1 0.4344
acc 0.4958, nmi 0.5370, ari 0.4122, f1 0.4451
acc 0.4928, nmi 0.5365, ari 0.4098, f1 0.4427
acc 0.4827, nmi 0.5303, ari 0.4005, f1 0.4268
acc 0.4908, nmi 0.5214, ari 0.4073, f1 0.4467
acc 0.4956, nmi 0.5187, ari 0.4044, f1 0.4527
acc 0.4973, nmi 0.5188, ari 0.4048, f1 0.4547
acc 0.4953, nmi 0.5181, ari 0.4035, f1 0.4530
acc 0.4915, nmi 0.5136, ari 0.4002, f1 0.4490
acc 0.4962, nmi 0.5033, ari 0.3909, f1 0.4577
acc 0.5204, nmi 0.5308, ari 0.4162, f1 0.4849
acc 0.5204, nmi 0.5273, ari 0.4127, f1 0.4868
acc 0.5219, nmi 0.5191, ari 0.4064, f1 0.4895
acc 0.5230, nmi 0.5092, ari 0.4007, f1 0.4895
acc 0.5266, nmi 0.5072, ari 0.3996, f1 0.4948
acc 0.5044, nmi 0.4972, ari 0.3928, f1 0.4664
acc 0.5040, nmi 0.4959, ari 0.3915, f1 0.4660
acc 0.5022, nmi 0.5000, ari 0.3939, f1 0.4642
acc 0.5001, nmi 0.5043, ari 0.3970, f1 0.4618
acc 0.4991, nmi 0.5053, ari 0.3976, f1 0.4609
acc 0.5005, nmi 0.5088, ari 0.3998, f1 0.4619
acc 0.4991, nmi 0.5106, ari 0.4012, f1 0.4607
acc 0.4985, nmi 0.5139, ari 0.4043, f1 0.4594
acc 0.5001, nmi 0.5134, ari 0.4041, f1 0.4572
acc 0.4965, nmi 0.5125, ari 0.4036, f1 0.4536
acc 0.4937, nmi 0.5097, ari 0.4021, f1 0.4528
acc 0.4903, nmi 0.5106, ari 0.4026, f1 0.4428
acc 0.4942, nmi 0.5075, ari 0.4013, f1 0.4504
acc 0.4966, nmi 0.5064, ari 0.4003, f1 0.4545
acc 0.4999, nmi 0.5058, ari 0.4016, f1 0.4571
acc 0.5038, nmi 0.5057, ari 0.4019, f1 0.4625
acc 0.5053, nmi 0.5046, ari 0.4023, f1 0.4581
acc 0.5067, nmi 0.5026, ari 0.4009, f1 0.4595
acc 0.5086, nmi 0.5018, ari 0.4002, f1 0.4625
acc 0.5085, nmi 0.4970, ari 0.3963, f1 0.4632
acc 0.4643, nmi 0.4645, ari 0.3485, f1 0.4217
acc 0.4626, nmi 0.4661, ari 0.3518, f1 0.4120
acc 0.4459, nmi 0.4632, ari 0.3343, f1 0.3955
acc 0.4606, nmi 0.4671, ari 0.3493, f1 0.4055
acc 0.4661, nmi 0.4683, ari 0.3551, f1 0.4107
acc 0.4872, nmi 0.4683, ari 0.3610, f1 0.4340
